Category_Name,Category_Url,Main_Category
Katzenbedarf,https://shop.rewe.de/c/tier-tierbedarf/,https://shop.rewe.de/c/tier/?source=homepage-category
Fischfutter ,https://shop.rewe.de/c/tier-tierfutter-fischfutter/,https://shop.rewe.de/c/tier/?source=homepage-category
Hundebedarf,https://shop.rewe.de/c/tier-tierfutter/,https://shop.rewe.de/c/tier/?source=homepage-category
Kleintierbedarf,https://shop.rewe.de/c/tier-tierbedarf-kleintierzubehoer/,https://shop.rewe.de/c/tier/?source=homepage-category
Vogelbedarf,https://shop.rewe.de/c/tier-tierbedarf-vogelzubehoer/,https://shop.rewe.de/c/tier/?source=homepage-category
Haushaltsartikel,https://shop.rewe.de/c/kueche-haushalt-haushaltsartikel/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Bekleidung,https://shop.rewe.de/c/drogerie-kosmetik-mode/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Bücher,https://shop.rewe.de/c/haus-freizeit-buecher/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Bürobedarf,https://shop.rewe.de/c/haus-freizeit-buerobedarf/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Elektronik,https://shop.rewe.de/c/haus-freizeit-elektronische-geraete/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Gartenzubehör,https://shop.rewe.de/c/garten-outdoor-gartenzubehoer/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Grills & Grillzubehör,https://shop.rewe.de/c/garten-outdoor-grills-grillzubehoer/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Ordnen & Aufbewahren,https://shop.rewe.de/c/haus-freizeit-dekoration-lifestyle-ordnen-aufbewahren/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Party & Geschenke,https://shop.rewe.de/c/haus-freizeit-party/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Spielwaren,https://shop.rewe.de/c/baby-kind-spielwaren/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Winterzubehör,https://shop.rewe.de/c/garten-outdoor-winterzubehoer/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Küchenhelfer & Zubehör,https://shop.rewe.de/c/kueche-haushalt-kuechenhelfer/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
