Category_Name,Category_Url
"
				#b.e. ROUTINE",https://www.rossmann.de/de/marken/be-routine/c/online-dachmarke_5200999
"
				#Weinmoment",https://www.rossmann.de/de/marken/weinmoment/c/online-dachmarke_7280906
"
				00 Null Null",https://www.rossmann.de/de/marken/00-null-null/c/online-dachmarke_4455012
"
				1-2 DRY",https://www.rossmann.de/de/marken/1-2-dry/c/online-dachmarke_5333102
"
				3M",https://www.rossmann.de/de/marken/3m/c/online-dachmarke_7588761
"
				4BRO",https://www.rossmann.de/de/marken/4bro/c/online-dachmarke_8227185
"
				7DAYS",https://www.rossmann.de/de/marken/7days/c/online-dachmarke_7923403
"
				8in1",https://www.rossmann.de/de/marken/8in1/c/online-dachmarke_4455014
"
				8x4",https://www.rossmann.de/de/marken/8x4/c/online-dachmarke_4455015
"
				Öpso",https://www.rossmann.de/de/marken/oepso/c/online-dachmarke_5791737
"
				ültje",https://www.rossmann.de/de/marken/ueltje/c/online-dachmarke_4927178
"
				ŌMAKA",https://www.rossmann.de/de/marken/omaka/c/online-dachmarke_6988962
"
				ABSOLUT",https://www.rossmann.de/de/marken/absolut/c/online-dachmarke_8188845
"
				Abtei",https://www.rossmann.de/de/marken/abtei/c/online-dachmarke_4455017
"
				accentra",https://www.rossmann.de/de/marken/accentra/c/online-dachmarke_4562042
"
				accessories",https://www.rossmann.de/de/marken/accessories/c/online-dachmarke_5973588
"
				Actiderma Pur",https://www.rossmann.de/de/marken/actiderma-pur/c/online-dachmarke_7430695
"
				Active",https://www.rossmann.de/de/marken/active/c/online-dachmarke_4455018
"
				acáo",https://www.rossmann.de/de/marken/acao/c/online-dachmarke_5159793
"
				adidas",https://www.rossmann.de/de/marken/adidas/c/online-dachmarke_4455020
"
				Adriatic",https://www.rossmann.de/de/marken/adriatic/c/online-dachmarke_5791221
"
				Aeroxon",https://www.rossmann.de/de/marken/aeroxon/c/online-dachmarke_4455021
"
				After Eight",https://www.rossmann.de/de/marken/after-eight/c/online-dachmarke_4455022
"
				Agent Provocateur",https://www.rossmann.de/de/marken/agent-provocateur/c/online-dachmarke_6468554
"
				Aigner",https://www.rossmann.de/de/marken/aigner/c/online-dachmarke_4455023
"
				air up",https://www.rossmann.de/de/marken/air-up/c/online-dachmarke_5524793
"
				Air Wick",https://www.rossmann.de/de/marken/air-wick/c/online-dachmarke_4455024
"
				Air-Val",https://www.rossmann.de/de/marken/air-val/c/online-dachmarke_8079080
"
				Ajax",https://www.rossmann.de/de/marken/ajax/c/online-dachmarke_4455028
"
				Ajona",https://www.rossmann.de/de/marken/ajona/c/online-dachmarke_4455029
"
				ako",https://www.rossmann.de/de/marken/ako/c/online-dachmarke_4455030
"
				Aktimed",https://www.rossmann.de/de/marken/aktimed/c/online-dachmarke_5583749
"
				Alas del Real",https://www.rossmann.de/de/marken/alas-del-real/c/online-dachmarke_4455031
"
				Alcina",https://www.rossmann.de/de/marken/alcina/c/online-dachmarke_4455032
"
				Alessandro",https://www.rossmann.de/de/marken/alessandro/c/online-dachmarke_8197095
"
				Alete bewusst",https://www.rossmann.de/de/marken/alete-bewusst/c/online-dachmarke_4455033
"
				Algemarin",https://www.rossmann.de/de/marken/algemarin/c/online-dachmarke_4562037
"
				All Stars",https://www.rossmann.de/de/marken/all-stars/c/online-dachmarke_7466314
"
				Almased",https://www.rossmann.de/de/marken/almased/c/online-dachmarke_4455036
"
				Alnatura",https://www.rossmann.de/de/marken/alnatura/c/online-dachmarke_4455037
"
				Alnavit",https://www.rossmann.de/de/marken/alnavit/c/online-dachmarke_4455040
"
				alouette",https://www.rossmann.de/de/marken/alouette/c/online-dachmarke_4455041
"
				Alpecin",https://www.rossmann.de/de/marken/alpecin/c/online-dachmarke_4455042
"
				Alpia",https://www.rossmann.de/de/marken/alpia/c/online-dachmarke_6857532
"
				Alpiflor",https://www.rossmann.de/de/marken/alpiflor/c/online-dachmarke_4455043
"
				ALPINE WHITE",https://www.rossmann.de/de/marken/alpine-white/c/online-dachmarke_6937261
"
				altapharma",https://www.rossmann.de/de/marken/altapharma/c/online-dachmarke_4455044
"
				Alterra NATURKOSMETIK",https://www.rossmann.de/de/marken/alterra-naturkosmetik/c/online-dachmarke_4455045
"
				Altoids",https://www.rossmann.de/de/marken/altoids/c/online-dachmarke_5777243
"
				Always",https://www.rossmann.de/de/marken/always/c/online-dachmarke_4455046
"
				Ameet",https://www.rossmann.de/de/marken/ameet/c/online-dachmarke_7956915
"
				Amigo",https://www.rossmann.de/de/marken/amigo/c/online-dachmarke_5549699
"
				andmetics",https://www.rossmann.de/de/marken/andmetics/c/online-dachmarke_4562011
"
				AniForte",https://www.rossmann.de/de/marken/aniforte/c/online-dachmarke_5160373
"
				Ankerkraut",https://www.rossmann.de/de/marken/ankerkraut/c/online-dachmarke_7933745
"
				anti svet",https://www.rossmann.de/de/marken/anti-svet/c/online-dachmarke_4455053
"
				Antikal",https://www.rossmann.de/de/marken/antikal/c/online-dachmarke_4455054
"
				Aok",https://www.rossmann.de/de/marken/aok/c/online-dachmarke_4455055
"
				ApaCare",https://www.rossmann.de/de/marken/apacare/c/online-dachmarke_7623255
"
				Aptamil",https://www.rossmann.de/de/marken/aptamil/c/online-dachmarke_4455056
"
				Ariel",https://www.rossmann.de/de/marken/ariel/c/online-dachmarke_4455057
"
				Arizona",https://www.rossmann.de/de/marken/arizona/c/online-dachmarke_4455058
"
				Aronal",https://www.rossmann.de/de/marken/aronal/c/online-dachmarke_4455059
"
				ars edition",https://www.rossmann.de/de/marken/ars-edition/c/online-dachmarke_7349698
"
				Asmodee",https://www.rossmann.de/de/marken/asmodee/c/online-dachmarke_5549930
"
				ASS",https://www.rossmann.de/de/marken/ass/c/online-dachmarke_5549767
"
				ASTALEA",https://www.rossmann.de/de/marken/astalea/c/online-dachmarke_7647188
"
				Aurora",https://www.rossmann.de/de/marken/aurora/c/online-dachmarke_5636675
"
				Australian Bodycare",https://www.rossmann.de/de/marken/australian-bodycare/c/online-dachmarke_6641463
"
				Autan",https://www.rossmann.de/de/marken/autan/c/online-dachmarke_4455062
"
				Avène",https://www.rossmann.de/de/marken/avene/c/online-dachmarke_5058205
"
				AXE",https://www.rossmann.de/de/marken/axe/c/online-dachmarke_4455063
"
				Azzaro",https://www.rossmann.de/de/marken/azzaro/c/online-dachmarke_7696844
"
				Azzurra",https://www.rossmann.de/de/marken/azzurra/c/online-dachmarke_5333107
"
				Babydream",https://www.rossmann.de/de/marken/babydream/c/online-dachmarke_4455064
"
				BaByliss",https://www.rossmann.de/de/marken/babyliss/c/online-dachmarke_4455066
"
				bac",https://www.rossmann.de/de/marken/bac/c/online-dachmarke_4455069
"
				Bad Heilbrunner",https://www.rossmann.de/de/marken/bad-heilbrunner/c/online-dachmarke_4455070
"
				Baetter Baking",https://www.rossmann.de/de/marken/baetter-baking/c/online-dachmarke_7856535
"
				Bahlsen",https://www.rossmann.de/de/marken/bahlsen/c/online-dachmarke_4561991
"
				Baileys",https://www.rossmann.de/de/marken/baileys/c/online-dachmarke_4744355
"
				Baldriparan",https://www.rossmann.de/de/marken/baldriparan/c/online-dachmarke_5648917
"
				Bambinchen",https://www.rossmann.de/de/marken/bambinchen/c/online-dachmarke_5651103
"
				bambino mio",https://www.rossmann.de/de/marken/bambino-mio/c/online-dachmarke_4455071
"
				BANGS",https://www.rossmann.de/de/marken/bangs/c/online-dachmarke_5308503
"
				Barkleys",https://www.rossmann.de/de/marken/barkleys/c/online-dachmarke_5648922
"
				Barnängen",https://www.rossmann.de/de/marken/barnaengen/c/online-dachmarke_4455072
"
				Basica",https://www.rossmann.de/de/marken/basica/c/online-dachmarke_5130769
"
				Batiste",https://www.rossmann.de/de/marken/batiste/c/online-dachmarke_4455073
"
				Bauer",https://www.rossmann.de/de/marken/bauer/c/online-dachmarke_5549718
"
				Bausch & Lomb",https://www.rossmann.de/de/marken/bausch-und-lomb/c/online-dachmarke_5772112
"
				BBQ Rescher",https://www.rossmann.de/de/marken/bbq-rescher/c/online-dachmarke_8245731
"
				BE-KIND",https://www.rossmann.de/de/marken/be-kind/c/online-dachmarke_7622224
"
				Bear Fruits",https://www.rossmann.de/de/marken/bear-fruits/c/online-dachmarke_8056322
"
				bears with benefits",https://www.rossmann.de/de/marken/bears-with-benefits/c/online-dachmarke_6130298
"
				BEAUCHOISY",https://www.rossmann.de/de/marken/beauchoisy/c/online-dachmarke_4455074
"
				Beauty Glam",https://www.rossmann.de/de/marken/beauty-glam/c/online-dachmarke_6794591
"
				Beauty Lash",https://www.rossmann.de/de/marken/beauty-lash/c/online-dachmarke_6102031
"
				BEAUTYglove",https://www.rossmann.de/de/marken/beautyglove/c/online-dachmarke_7983782
"
				BEBA",https://www.rossmann.de/de/marken/beba/c/online-dachmarke_4455075
"
				bebe",https://www.rossmann.de/de/marken/bebe/c/online-dachmarke_4455076
"
				bebe ZARTPFLEGE",https://www.rossmann.de/de/marken/bebe-zartpflege/c/online-dachmarke_7341435
"
				Bebivita",https://www.rossmann.de/de/marken/bebivita/c/online-dachmarke_4455078
"
				bebon",https://www.rossmann.de/de/marken/bebon/c/online-dachmarke_5358073
"
				Bee Natural",https://www.rossmann.de/de/marken/bee-natural/c/online-dachmarke_4455079
"
				bee.neo",https://www.rossmann.de/de/marken/beeneo/c/online-dachmarke_6353746
"
				beeskin",https://www.rossmann.de/de/marken/beeskin/c/online-dachmarke_5908314
"
				Beline",https://www.rossmann.de/de/marken/beline/c/online-dachmarke_5340105
"
				bellybutton",https://www.rossmann.de/de/marken/bellybutton/c/online-dachmarke_4561989
"
				Beltz",https://www.rossmann.de/de/marken/beltz/c/online-dachmarke_5791750
"
				Ben&Anna",https://www.rossmann.de/de/marken/benundanna/c/online-dachmarke_5393036
"
				Bench",https://www.rossmann.de/de/marken/bench/c/online-dachmarke_4455080
"
				Beneful",https://www.rossmann.de/de/marken/beneful/c/online-dachmarke_4455081
"
				Bentley",https://www.rossmann.de/de/marken/bentley/c/online-dachmarke_7455054
"
				Beovita",https://www.rossmann.de/de/marken/beovita/c/online-dachmarke_4561966
"
				Bepanthen",https://www.rossmann.de/de/marken/bepanthen/c/online-dachmarke_5097358
"
				Bepanthol",https://www.rossmann.de/de/marken/bepanthol/c/online-dachmarke_5340109
"
				Best Nature",https://www.rossmann.de/de/marken/best-nature/c/online-dachmarke_5316849
"
				Best Sporting",https://www.rossmann.de/de/marken/best-sporting/c/online-dachmarke_5772121
"
				BestView",https://www.rossmann.de/de/marken/bestview/c/online-dachmarke_4455082
"
				Bestway",https://www.rossmann.de/de/marken/bestway/c/online-dachmarke_4455083
"
				Bettina Barty",https://www.rossmann.de/de/marken/bettina-barty/c/online-dachmarke_4455084
"
				Betty Barclay",https://www.rossmann.de/de/marken/betty-barclay/c/online-dachmarke_4455085
"
				beurer",https://www.rossmann.de/de/marken/beurer/c/online-dachmarke_4455086
"
				Bi-Oil",https://www.rossmann.de/de/marken/bi-oil/c/online-dachmarke_4455094
"
				BIBS",https://www.rossmann.de/de/marken/bibs/c/online-dachmarke_7840593
"
				BIC",https://www.rossmann.de/de/marken/bic/c/online-dachmarke_5648930
"
				BIC Kids",https://www.rossmann.de/de/marken/bic-kids/c/online-dachmarke_4455088
"
				bideo",https://www.rossmann.de/de/marken/bideo/c/online-dachmarke_7149499
"
				Biff",https://www.rossmann.de/de/marken/biff/c/online-dachmarke_4455089
"
				BIG",https://www.rossmann.de/de/marken/big/c/online-dachmarke_4455090
"
				BILLY BOY",https://www.rossmann.de/de/marken/billy-boy/c/online-dachmarke_4455091
"
				Billy Tiger",https://www.rossmann.de/de/marken/billy-tiger/c/online-dachmarke_4717816
"
				bilou",https://www.rossmann.de/de/marken/bilou/c/online-dachmarke_4455092
"
				Bio Zentrale",https://www.rossmann.de/de/marken/bio-zentrale/c/online-dachmarke_4455093
"
				biobaby",https://www.rossmann.de/de/marken/biobaby/c/online-dachmarke_4561986
"
				BIOKEMA",https://www.rossmann.de/de/marken/biokema/c/online-dachmarke_8309147
"
				bionicdry",https://www.rossmann.de/de/marken/bionicdry/c/online-dachmarke_4455095
"
				Bioniq®",https://www.rossmann.de/de/marken/bioniq/c/online-dachmarke_7278304
"
				BIOSOLIS",https://www.rossmann.de/de/marken/biosolis/c/online-dachmarke_6315032
"
				Biosüße",https://www.rossmann.de/de/marken/biosuesse/c/online-dachmarke_5772124
"
				Biotherm",https://www.rossmann.de/de/marken/biotherm/c/online-dachmarke_4455098
"
				Biovegan",https://www.rossmann.de/de/marken/biovegan/c/online-dachmarke_6146381
"
				biovital",https://www.rossmann.de/de/marken/biovital/c/online-dachmarke_4455099
"
				Birkavit",https://www.rossmann.de/de/marken/birkavit/c/online-dachmarke_4455100
"
				BitterLiebe",https://www.rossmann.de/de/marken/bitterliebe/c/online-dachmarke_6642893
"
				Blanvalet",https://www.rossmann.de/de/marken/blanvalet/c/online-dachmarke_5875462
"
				Blaue Helden",https://www.rossmann.de/de/marken/blaue-helden/c/online-dachmarke_6758310
"
				Blend-a-dent",https://www.rossmann.de/de/marken/blend-a-dent/c/online-dachmarke_4455101
"
				Blend-a-med",https://www.rossmann.de/de/marken/blend-a-med/c/online-dachmarke_4455102
"
				Blistex",https://www.rossmann.de/de/marken/blistex/c/online-dachmarke_4455103
"
				Blue Ocean Verlag",https://www.rossmann.de/de/marken/blue-ocean-verlag/c/online-dachmarke_7396373
"
				boep",https://www.rossmann.de/de/marken/boep/c/online-dachmarke_8606160
"
				Bohlsener Mühle",https://www.rossmann.de/de/marken/bohlsener-muehle/c/online-dachmarke_6453578
"
				Bolz",https://www.rossmann.de/de/marken/bolz/c/online-dachmarke_5636771
"
				BOMBAY",https://www.rossmann.de/de/marken/bombay/c/online-dachmarke_8188860
"
				Boti",https://www.rossmann.de/de/marken/boti/c/online-dachmarke_6394688
"
				BOTUCAL",https://www.rossmann.de/de/marken/botucal/c/online-dachmarke_8188876
"
				Braukmann",https://www.rossmann.de/de/marken/braukmann/c/online-dachmarke_5340157
"
				Braun",https://www.rossmann.de/de/marken/braun/c/online-dachmarke_4455109
"
				Bref",https://www.rossmann.de/de/marken/bref/c/online-dachmarke_4455110
"
				Briconti",https://www.rossmann.de/de/marken/briconti/c/online-dachmarke_4561967
"
				Brisk for Men",https://www.rossmann.de/de/marken/brisk-for-men/c/online-dachmarke_4455111
"
				Brita",https://www.rossmann.de/de/marken/brita/c/online-dachmarke_4455112
"
				Britax Römer",https://www.rossmann.de/de/marken/britax-roemer/c/online-dachmarke_6939650
"
				Bronhicum",https://www.rossmann.de/de/marken/bronhicum/c/online-dachmarke_5704838
"
				Brooklyn Soap Company",https://www.rossmann.de/de/marken/brooklyn-soap-company/c/online-dachmarke_4917531
"
				brother",https://www.rossmann.de/de/marken/brother/c/online-dachmarke_6888794
"
				BRUNNEN",https://www.rossmann.de/de/marken/brunnen/c/online-dachmarke_5583368
"
				bruno banani",https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113
"
				BS Toys",https://www.rossmann.de/de/marken/bs-toys/c/online-dachmarke_8281654
"
				bubble t",https://www.rossmann.de/de/marken/bubble-t/c/online-dachmarke_8325093
"
				Buer",https://www.rossmann.de/de/marken/buer/c/online-dachmarke_5648941
"
				Buffalo",https://www.rossmann.de/de/marken/buffalo/c/online-dachmarke_7095995
"
				bugatti",https://www.rossmann.de/de/marken/bugatti/c/online-dachmarke_8152372
"
				BULLDOG",https://www.rossmann.de/de/marken/bulldog/c/online-dachmarke_4455115
"
				Bullrich",https://www.rossmann.de/de/marken/bullrich/c/online-dachmarke_4455116
"
				Bullrich Salz",https://www.rossmann.de/de/marken/bullrich-salz/c/online-dachmarke_4455117
"
				Bullyland",https://www.rossmann.de/de/marken/bullyland/c/online-dachmarke_5636753
"
				bumpli",https://www.rossmann.de/de/marken/bumpli/c/online-dachmarke_6448968
"
				Burberry",https://www.rossmann.de/de/marken/burberry/c/online-dachmarke_4455118
"
				Burt's Bees",https://www.rossmann.de/de/marken/burts-bees/c/online-dachmarke_4455120
"
				burti",https://www.rossmann.de/de/marken/burti/c/online-dachmarke_4455119
"
				Butcher’s Son",https://www.rossmann.de/de/marken/butchers-son/c/online-dachmarke_4886981
"
				Bye Bye Blemish",https://www.rossmann.de/de/marken/bye-bye-blemish/c/online-dachmarke_8003382
"
				Bärenmarke",https://www.rossmann.de/de/marken/baerenmarke/c/online-dachmarke_5340181
"
				Böttger",https://www.rossmann.de/de/marken/boettger/c/online-dachmarke_4455108
"
				Bübchen",https://www.rossmann.de/de/marken/buebchen/c/online-dachmarke_4455114
"
				c.d.6+",https://www.rossmann.de/de/marken/cd6/c/online-dachmarke_5393051
"
				Calgon",https://www.rossmann.de/de/marken/calgon/c/online-dachmarke_4455123
"
				Calvin Klein",https://www.rossmann.de/de/marken/calvin-klein/c/online-dachmarke_4455124
"
				Camelia",https://www.rossmann.de/de/marken/camelia/c/online-dachmarke_4455125
"
				CANOBO",https://www.rossmann.de/de/marken/canobo/c/online-dachmarke_5954053
"
				Cantu",https://www.rossmann.de/de/marken/cantu/c/online-dachmarke_4455127
"
				Capri-Sun",https://www.rossmann.de/de/marken/capri-sun/c/online-dachmarke_4455128
