Product_id,Product_Name,Brand_Name,Product_NetPrice,Product_Price,Product_Baseprice,Product_Weight,Product_Category,Product_reviewcount,Image_Url,Product_Url,Category_Url,Product_Rank,Page_No,TimeStamp
107654,Man Deodorant Spray,bruno banani,2.092,2.49,"1l=16,60€",150ml,Pflege & Duft/Männerpflege,(0),"https://www.rossmann.de/media-neu/828/MAM_8285857/MAM_8285857_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-man-deodorant-spray/p/3616302035397,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,1,1,2022-08-24 14:46:13
109748,Man Limited Edition Deodorant Spray,bruno banani,2.092,2.49,"1l=16,60€",150ml,Pflege & Duft/Männerpflege,(0),"https://www.rossmann.de/media-neu/828/MAM_8286764/MAM_8286764_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-man-limited-edition-deodorant-spray/p/3616303177478,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,2,1,2022-08-24 14:46:13
107619,Man 3in1 Shower Gel,bruno banani,2.092,2.49,"1l=9,96€",250ml,Pflege & Duft/Körperpflege/Duschen & Baden/Duschgel,(0),"https://www.rossmann.de/media-neu/828/MAM_8286778/MAM_8286778_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-man-3in1-shower-gel/p/3616303051600,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,3,1,2022-08-24 14:46:13
107614,Magic Man 3in1 Shower Gel,bruno banani,2.092,2.49,"1l=9,96€",250ml,Pflege & Duft/Körperpflege/Duschen & Baden/Duschgel,(1),"https://www.rossmann.de/media-neu/828/MAM_8286791/MAM_8286791_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-magic-man-3in1-shower-gel/p/3616303051631,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,4,1,2022-08-24 14:46:13
109750,Man Limited Edition 3in1 Shower Gel,bruno banani,2.092,2.49,"1l=9,96€",250ml,Pflege & Duft/Körperpflege/Duschen & Baden/Duschgel,(0),"https://www.rossmann.de/media-neu/828/MAM_8286767/MAM_8286767_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-man-limited-edition-3in1-shower-gel/p/3616303177485,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,5,1,2022-08-24 14:46:13
107653,Magic Man Deodorant Spray,bruno banani,2.092,2.49,"1l=16,60€",150ml,Pflege & Duft/Männerpflege,(0),"https://www.rossmann.de/media-neu/828/MAM_8286772/MAM_8286772_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-magic-man-deodorant-spray/p/3616302035434,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,6,1,2022-08-24 14:46:13
107652,Made For Man Deodorant Spray,bruno banani,2.092,2.49,"1l=16,60€",150ml,Pflege & Duft/Männerpflege,(0),"https://www.rossmann.de/media-neu/830/MAM_8307301/MAM_8307301_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-made-for-man-deodorant-spray/p/3616302035427,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,7,1,2022-08-24 14:46:13
107615,Made for Men 3in1 Shower Gel,bruno banani,2.092,2.49,"1l=9,96€",250ml,Pflege & Duft/Körperpflege/Duschen & Baden/Duschgel,(0),"https://www.rossmann.de/media-neu/828/MAM_8286181/MAM_8286181_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-made-for-men-3in1-shower-gel/p/3616303051624,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,8,1,2022-08-24 14:46:13
107645,Absolute Man Deodorant Spray,bruno banani,2.092,2.49,"1l=16,60€",150ml,Pflege & Duft/Männerpflege,(0),"https://www.rossmann.de/media-neu/828/MAM_8285860/MAM_8285860_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-absolute-man-deodorant-spray/p/3616302035410,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,9,1,2022-08-24 14:46:13
107656,Man´s Best Deodorant Spray,bruno banani,2.092,2.49,"1l=16,60€",150ml,Pflege & Duft/Männerpflege,(0),"https://www.rossmann.de/media-neu/828/MAM_8286775/MAM_8286775_SHOP_IMAGE_1.4.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-mans-best-deodorant-spray/p/3616302035465,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,10,1,2022-08-24 14:46:13
096518,"Woman fun-loving flower, Body Splash 250 ml",bruno banani,4.613,5.49,"1l=21,96€",250ml,Pflege & Duft/Düfte & Parfum/Damendüfte & Damenparfum,(0),"https://www.rossmann.de/media-neu/767/MAM_7673817/MAM_7673817_SHOP_IMAGE_1.6.png?width=190&height=190&fit=bounds&auto=webp&format=webply&canvas=190,190&quality=40",https://www.rossmann.de/de/pflege-und-duft-bruno-banani-woman-fun-loving-flower-body-splash-250-ml/p/3616301641063,https://www.rossmann.de/de/marken/bruno-banani/c/online-dachmarke_4455113,11,1,2022-08-24 14:46:13
