Sku_ID,pro_code,pro_name,total_rating_count,average_rating,img_url,short_description,search_keyword,product_url,Product_Rank,Page_No,TimeStamp,Price,Price_per_unit
6.00E+12,6.00E+12,Wagh Bakri Premium Tea,49,4.6735,https://i5.walmartimages.ca/images/Thumbnails/763/626/6000201763626.jpg,907 gm,tea,https://www.walmart.ca/en/ip/6000197913228,1,1,12/8/2022 6:17,11.44,1.26
6MA1U1YYYKK8,PRD6MA1U1YYYKK8,CITIZEN TEA Poor Weather Tea,,,https://i5.walmartimages.com/asr/8d32225d-4a46-4b8c-bbdb-33b0d18b6eb4.f93b64c0e5c4f8b2c5a8561a4d4137be.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD6MA1U1YYYKK8,2,1,12/8/2022 6:17,13.69,
10285694,6.00E+12,Lipton and mellow experience Green Tea,186,4.5269,https://i5.walmartimages.ca/images/Thumbnails/132/752/999999-68400132752.jpg,72 tea bags Green Tea,tea,https://www.walmart.ca/en/ip/6000136345559,3,1,12/8/2022 6:17,6.97,0.1
42CCYSYL4O3E,66UP4KYN6E9U,Yorkshire Gold Tea Bags Black Tea Taylors of Harrogate 500g 160 Tea bags Per Pack (MULTI-PACK),55,4.9636,https://i5.walmartimages.com/asr/0a321426-bb26-4d73-a5bc-87fe9658ed54.da72b2f9c38578d3b87ac2a4aa33bfc9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/66UP4KYN6E9U,4,1,12/8/2022 6:17,26.95,
6.00E+12,6.00E+12,Tazo Dream Herbal Tea,1,3,https://i5.walmartimages.ca/images/Thumbnails/880/964/6000203880964.jpg,20 Tea Bags,tea,https://www.walmart.ca/en/ip/6000203779517,5,1,12/8/2022 6:17,4.47,
6QAT0SKI98G8,PRD6QAT0SKI98G8,Tazo - White Tea Berryblossom - 20 Tea Bags,1,5,https://i5.walmartimages.com/asr/af96bf7a-c0e0-4d2c-8ecf-468474267fe3.c15f18eb323cbe6a953a91d3e13236c0.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD6QAT0SKI98G8,6,1,12/8/2022 6:17,10.54,
6.00E+12,6.00E+12,Traditional Medicinals Chamomile,3,5,https://i5.walmartimages.ca/images/Thumbnails/358/049/6000204358049.jpg,16 Wrapped Tea Bags,tea,https://www.walmart.ca/en/ip/6000203798449,7,1,12/8/2022 6:17,4.97,
6.00E+12,6.00E+12,AHMAD TEA LONDON CARDAMON,6,4.6667,https://i5.walmartimages.ca/images/Thumbnails/903/679/6000200903679.jpg,24 x 200g100 bags,tea,https://www.walmart.ca/en/ip/6000196835247,8,1,12/8/2022 6:17,6.47,3.24
6.00E+12,6.00E+12,"Celestial Seasonings Wellness Tea, Sleepytime ,",167,4.6347,https://i5.walmartimages.ca/images/Thumbnails/004/025/999999-70734004025.jpg,"40 Count Box, Herbal Tea",tea,https://www.walmart.ca/en/ip/6000188761680,9,1,12/8/2022 6:17,6.27,0.16
6.00E+12,6.00E+12,TRIPLE LEAF BRAND GREEN TEA WITH GINSENG,,,https://i5.walmartimages.ca/images/Thumbnails/881/713/6000202881713.jpg,40 grams,tea,https://www.walmart.ca/en/ip/6000197099737,10,1,12/8/2022 6:17,4.67,11.68
