ARTG ID,Approval Area,Sponsor,ARTG Start Date,Product Category,Manufacturer Name,Manufacturer Location (Country),PDF URL
404491,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,8/2/2023,Medical Device?lass IIa,Outset Medical Inc 3052 Orchard Drive San Jose ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=404491&agid=(PrintDetailsPublic)&actionid=1
404461,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,7/2/2023,Medical Device?lass IIb,Outset Medical Inc 3052 Orchard Drive San Jose ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=404461&agid=(PrintDetailsPublic)&actionid=1
404459,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,7/2/2023,Medical Device?lass IIa,PARSYS TELEMEDECINE 5-7 Avenue de Paris ,France,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=404459&agid=(PrintDetailsPublic)&actionid=1
404093,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,31/01/2023,Medical Device?lass IIa,Ya Horng Electronic Co Ltd No 35 Shalun Anding Dist ,Taiwan,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=404093&agid=(PrintDetailsPublic)&actionid=1
402229,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,16/01/2023,Medical Device?lass IIb,Paragon 28 Inc 14445 Grasslands Drive ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=402229&agid=(PrintDetailsPublic)&actionid=1
402216,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,16/01/2023,Medical Device?lass IIb,Paragon 28 Inc 14445 Grasslands Drive ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=402216&agid=(PrintDetailsPublic)&actionid=1
402215,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,16/01/2023,Medical Device?lass IIb,Paragon 28 Inc 14445 Grasslands Drive ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=402215&agid=(PrintDetailsPublic)&actionid=1
402137,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,12/1/2023,Medical Device?lass IIa,Paragon 28 Inc 14445 Grasslands Drive ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=402137&agid=(PrintDetailsPublic)&actionid=1
402136,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,12/1/2023,Medical Device?lass Is,West Pharma Services IL Ltd 4 Hasheizaf St ,Israel,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=402136&agid=(PrintDetailsPublic)&actionid=1
402131,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,12/1/2023,Medical Device?lass 1,Radux Devices LLC 11292 86th Ave N Suite 101 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=402131&agid=(PrintDetailsPublic)&actionid=1
