Company Name,Company Address,City,State,Zip,Phone number,Web Address,Contact Name,Category
Elite Home Fashions,6710 Valjean Ave,Van Nuys,CA,91406,(213) 689-3247,http://www.elitetextileinc.com,Arman Demir,Home Textiles
"Cariloha, Inc.",280 W 10200 S#300,Sandy,UT,84070,(800) 884-5815,http://www.cariloha.com,Adam Fain,Home Textiles
"Wooded River, Inc.",3521 Arthur Street,Caldwell,ID,83605,(208) 468-0297,http://www.woodedriver.com,Jill Andersen,Home Textiles
HiEnd Accents,3011 Skyway Circle South,Irving,TX,75038,(972) 514-1971,https://partner.hiendaccents.com/,Dan Vacek,Home Textiles
Danica,2150 Peace Portal Way ,Blaine,WA,98230,(866) 253-9001,http://danicabrands.com,,Home Textiles
Cloud9 Design Inc.,37 Leslie Court,Whippany,NJ,07981,(212) 356-0086,http://www.cloud9d.com,Vinay Golchha,Home Textiles
Sleep and Beyond,14611 El Molino St,Fontana,CA,92335,(909) 262-7966,http://www.sleepandbeyond.com,Sardor Azimovich Abdullaev,Home Textiles
Orchids Lux Home,"2000 N Stemmons Freeway, The Gallery IHDC Ste 1D202 GL 110",Dallas,TX,75207,(888) 278-3682,http://www.orchidsluxhome.com,Dr. Nalin Jain,Home Textiles
Fireside Lodge Furniture Company,PO Box 665,Pequot Lakes,MN,56472-2899,(218) 568-6188,http://www.firesidelodgefurniture.com,Dallas Steffen,Home Textiles
Park Designs,405 Gateway Drive,Goldsboro,NC,27534,(919) 778-9596,http://www.parkdesigns.net,Lynn P Sasser,Home Textiles
"NEST, The New Era Sales Team",6732 W Coal Mine Ave #410,Littleton,,80123,(800) 876-2334,http://www.newerareps.com,Sande Womack,Home Textiles
Pom Pom at Home,2979 N Ontario St,Burbank,CA,91504,(818) 847-0150,http://www.pompomathome.com,Wendy Guevara,Home Textiles
"Standard Fiber, LLC","577 Airport Blvd., Suite 200",Burlingame,CA,94010,(336) 413-2872,http://www.standardfiber.com,,Home Textiles
Siscovers,6707 Shingle Creek Parkway,Brooklyn Center,MN,55430,(800) 989-5435,http://www.siscovers.com,LeeAnne Harris,Home Textiles
Rizzy Home,900 Marine Dr SE,Calhoun,GA,30701-3648,(706) 602-8857,http://www.rizzyhome.com,Teresa Paris,Home Textiles
Amity Home,2395 Miguel Miranda Ave,Irwindale,CA,91010,(626) 334-6771,http://www.amityhome.com,,Home Textiles
"Cavallini Papers & Co., Inc",401 Forbes Boulevard,South San Francisco,CA,94080,(800) 226-5287,http://cavallini.com,Sookie Koban,Home Textiles
"Magenta, Inc.",807 Allston Way,Berkeley,CA,94710,(510) 849-3888,https://www.magenta-inc.com,Kim Elizalde,Home Textiles
Trans-Ocean Import Co. Inc.,10 Midland Ave. Suite M00,Port Chester,NY,10573,(914) 949-5656,http://transocean.com,Dean Smith,Home Textiles
Buzzee,1000 peachtree Industrial Blvd,suwanee,GA,30024,(773) 219-9605,https://www.buzzeewraps.com,,Home Textiles
"HIC, Harold Import Co.",747 Vassar Ave,Lakewood,NJ,08701-6908,(800) 526-2163,http://www.haroldimport.com,Laura Everage,Home Textiles
Next Step Reps,10170 W. Tropicana Ave. #156-292,Las Vegas,NV,89147,(702) 202-1024,http://www.nextstepreps.com,Jackie Moon,Home Textiles
Anne McGilvray & Company,2332 Valdina,Dallas,TX,75207,(214) 393-6010,http://www.annemcgilvray.com,Meg Gilmore,Home Textiles
Pacesetter Sourcing,"Noida, Delhi-NCR",Uttar Pradesh,,201002,0091 8587854288,https://pacesettersc.in/,DIPTII MITTAL,Home Textiles
Vestiges Inc.,1500 Jackson Street NE,Minneapolis,MN,55413,(612) 259-8262,http://www.vestigesinc.com,Mary Ash Lazarus,Home Textiles
Little Amigos Distribution,913 Larchwood Dr,Brea,CA,92821,(949) 973-6975,http://www.littleamigossa.com,Veronica  Jervis-Traut,Home Textiles
GANZ,140 Colony Center Dr. Ste 100,Woodstock,GA,30188,(770) 973-0092,https://www.ganz.com,Kelly Browning,Home Textiles
Fibreworks,2301 Brennen Business Court,Louisville,KY,40299-2515,(800) 843-0063,http://www.fibreworks.com,Stacey Sitar,Home Textiles
A & B Home Inc.,660 N Pioneer Ave,Woodland,CA,95776,(909) 758-5366,http://www.abhomeinc.com,Dena French,Home Textiles
Aid To Artisans,4445 Willard Avenue,Chevy chase,DC,20815,(202) 572-2628,http://www.ata.creativelearning.org,Maud Obe,Home Textiles
HomArt,15041 Bake Pkwy Ste A,Irvine,CA,92618,(888) 346-6278,http://www.homart.com,Betty Arokiasamy,Home Textiles
BEST of Show,1314 Early St,Sac City,IA,50583,(240) 447-6612,http://www.bestofshowshop.com,Theresa Holbrook,Home Textiles
Keena,"3403 Piedmont Ave, Suite 302",Oakland,CA,94611,(415) 831-8809,http://www.keenaco.com,Fernanda Lai,Home Textiles
Ivystone,301 Commerce Dr,Exton,PA,19341-2608,(877) 466-7895,http://www.ivystone.com,Kelly  McComiskey ,Home Textiles
Ventius International LLC,Mother Teresa nn,Gjakove,,50000,38345522555,http://www.ventiusinternational.com,,Home Textiles
Southwest Looms,5634 Durham Chapel Hill Blvd,Durham,NC,27707-3321,(919) 489-8362,http://www.southwestlooms.com,Cynthia McLaren,Home Textiles
Pal Pillow,1718 Chico Ave.,South El Monte,CA,91733,(626) 581-5857,https://palpillow.com/,Irene Sun,Home Textiles
Banyan Designs Limited,52876 Harman Drive,Elkhart,IN,46514,(574) 266-4271,http://www.Banyandesignslimited.com,David Schemenauer,Home Textiles
I Love Pillow / I Love Mattress,4936 Technical Drive,Milford,MI,48381,(248) 863-5900,https://www.ilovepillowwholesale.com/,Bill Bush,Home Textiles
Magniflex,3050 Biscayne Blvd. #200,Miami,FL,33137,(786) 233-8805,http://www.magniflex.com,Silvia Galasso,Home Textiles
Carpenter Co.,5016 Monument Ave,Richmond,VA,23230,(800) 288-3836,http://www.carpenter.com,Mark Willard,Home Textiles
Glow Decor,1750 Delta Waters Rd.,Medford,OR,97504,(541) 200-2280,http://www.glowdecor.com,Jesse Gelsinger,Home Textiles
Porch View Home,4300 Concorde Rd.,Memphis,TN,38118,(901) 677-0013,http://www.porchviewhome.com,Ruth Montgomery,Home Textiles
Brayden & Brooks,30822 Nichols Sawmill,Magnolia,TX,77355,(832) 746-1574,http://www.braydenandbrooks.com,Bryan Lyszaz,Home Textiles
MLILY,11537 Kingston Pike ,Knoxville,TN,37934,(310) 623-2002,https://mlilyusa.com/,Ryan Farber,Home Textiles
Printed Canvas,4340 N. Kenmore Ave.,Chicago,IL,60613,(773) 325-9365,http://www.PrintedCanvas.com,Trent Nelson,Home Textiles
Gaurav Lederwaren Pvt Ltd,"5A, Woodburn Central, D L Khan Road, Kolkata,",West Bengal,,700027,0091 9831012760,https://www.labaggio.com,Bhavna Belani,Home Textiles
Caraway & Co,2916 Belmont Dr.,Henderson,NV,89074,(970) 980-5597,http://www.carawayandco.com,Terry Imus,Home Textiles
Just Got 2 Have It!,40 John Portman Blvd,Atlanta,GA,30303,(404) 749-4850,http://www.justgot2haveit.com,Lexie Desprez,Home Textiles
Moe's Home Collection,18621 89th Place South,Kent,WA,98032,(800) 967-9942,http://www.moeshomecollection.com,Moe Samieian Jr,Home Textiles
Sullivans,3101 N 4th Ave,Sioux Falls,SD,57104,(800) 456-4568,http://www.sullivangift.com,Tawni Buhler,Home Textiles
Antarang - Colouring Lives with Crafts!,"Mehta Terrace, Satyanarayan Main Road","Bhavnagar, Gujarat",,364001,+91 9723894947,http://www.antarangcrafts.com,Bhagyashree Mehta,Home Textiles
Aquavireo AB,Bygraensvaegen 7,Gaevle,,80649,+46761616670,https://www.aquavireo.com,Rick Slater,Home Textiles
Dalyn Rug Company,"2386 Lakeland Road, PO Box 1031",Dalton,GA,30722-1031,(706) 277-2909,http://www.dalyn.com,Bryan Mcintosh,Home Textiles
"India Handicrafts, Inc. IHI",2421 Rosegate,Roseville,MN,55113-2717,(651) 582-0525,http://www.ihionline.com,,Home Textiles
Feizy Rugs,13800 Diplomat Drive,Dallas,TX,75234,(214) 747-6000,http://www.feizy.com/,Mike Riley,Home Textiles
Unique Loom,793 Fort Mill Hwy,Fort Mill,SC,29707,(800) 765-6958,https://www.uniqueloom.com,Adeleh Nassri,Home Textiles
