name,address,city,state,zip,phone,Facebook,Instagram,Twitter,Email
Maze Books,117 South 3rd Street,Rockford,IL,61104-1109,(779)970-5912,https://www.facebook.com/MazeBookstore,mazebookstore,,mazebookshop@gmail.com
Black Garnet Books,1648 Selby Avenue,St Paul,MN,55104,(612)867-4058,,blackgarnetbooks,blkgarnetbooks,dionne@blackgarnetbooks.com
Book Stop GB,603 Military Avenue,Green Bay,WI,54303,(920)498-0008,https://www.facebook.com/BookStopGreenBay,bookstopgb,,bookstopgb@gmail.com
Prairie Fox Books,719 LaSalle Street,Ottawa,IL,61350,(815)433-7323,https://www.facebook.com/prairiefoxbooks/,Prairiefoxbooks,prairiefoxbooks,prairiefoxbooks@gmail.com
Books Revisited,607 West Saint Germain Street,St Cloud,MN,56301,(320)259-7959,https://www.facebook.com/BooksRevisited/,,,orders@cloudnet.com
Thomas A. Lyons Fine Books,127 W. Wisconsin Ave,Neenah,WI,54956,(920)486-1751,https://www.facebook.com/lyons-fine-books-282878571830905/?fref=ts,,,lyonsfinebooks@gmail.com
Robin's Nest Bookshoppe,218 East Lincoln Highway,DeKalb,IL,60115,(779)255-1191,https://www.facebook.com/robinsnestdekalb,,,bobbi@robinsnestdekalb.com
Watermark Books & Cafe,4701 E Douglas,Wichita,KS,67218,(316)682-1181,https://www.facebook.com/watermarkbooks/,watermarkbooksandcafe,WatermarkBooks,books@watermarkbooks.com
LaDeDa Books,1624 New York Avenue,Manitowoc,WI,54220,(920)682-7040,https://facebook.com/ladedabooks,,,bdenor@lsol.net
The Bookstore Pine City,253 5th Street Southeast,Pine City,Minnesota,55063-1580,(763)234-7172,https://www.facebook.com/TheBookstorePineCity,,,TheBookstorePineCity@gmail.com
The Old Bookshop,Old Bookshop,Rice Lake,WI,54868,(715)234-4788,https://www.facebook.com/profile.php?id=100064335563501,,,obs37nmain@yahoo.com
Twice Told Tales,104 South Main Street,McPherson,KS,67460,(620)718-5023,https://www.facebook.com/twicetoldtalesusedbooks,twicetoldtalesks,,libby@twicetoldtales.net
Retold Tales Used Bookstore,176-B West Simon Boulevard,Holts Summit,MO,65043,(573)896-0241,https://www.facebook.com/Retoldtalesusedbookstore/,retoldtalesusedbookstore,,josephwang.holtssummithardware@gmail.com
DreamHaven Books & Comics,2301 E 38th Street,Minneapolis,MN,55406,(612)823-6161,https://www.facebook.com/dreamhavenbooks/,dreamhavenbooks/?hl=en,DreamHavenBooks,dream@dreamhavenbooks.com
Novel Bay Booksellers,44 N 3rd Avenue,Sturgeon Bay,WI,54235,(715)207-1484,http://facebook.com/novelbaybooks,novelbaybooks,NovelBayBooks,john@novelbaybooks.com
Outside of a Dog Books & Games,5 Court St,Vermillion,SD,57069,(605)638-4668,https://www.facebook.com/OutsideOfADog,outsideofadogsd,,mike@outsideofadogsd.com
Moon Palace Books,3032 Minnehaha Ave,Minneapolis,MN,55406,(612)454-0455,https://www.facebook.com/moonpalacebooks,moonpalacebooks,MoonPalaceBooks,info@moonpalacebooks.com
