Vin_Number,model_name,brand_title,service_records,Total Owners,Owner1 year purchased,Owner1 Type,Owner1 length of ownership,Owner1 Owned states/provinces,Owner1 miles driven per year,Owner1 Last odometer reading,Owner2 year purchased,Owner2 Type,Owner2 length of ownership,Owner2 Owned states/provinces,Owner2 miles driven per year,Owner2 Last odometer reading,Owner3 year purchased,Owner3 Type,Owner3 length of ownership,Owner3 Owned states/provinces,Owner3 miles driven per year,Owner3 Last odometer reading,Owner4 year purchased,Owner4 Type,Owner4 length of ownership,Owner4 Owned states/provinces,Owner4 miles driven per year,Owner4 Last odometer reading
3C63RRJL6JG124567,2018 RAM 3500 LARAMIE,Salvage,16,1,2018,Personal,4 yrs. 11 mo.,Texas,"10,717/yr","53,531",,,,,,,,,,,,,,,,,,
JTJBC1BA0A2013037,2010 LEXUS RX 450,Salvage,21,2,2009,---,3 yrs. 8 mo.,California,---,17,2013,---,9 yrs. 1 mo.,California,"5,783/yr","83,444",,,,,,,,,,,,
2MEFM75V06X655263,2006 MERCURY GRAND MARQUIS LS,,25,1,2006,Personal,16 yrs. 6 mo.,Texas,"1,895/yr","30,241",,,,,,,,,,,,,,,,,,
1C4GJ45302B629416,2002 CHRYSLER VOYAGER LX,,25,1,2002,Personal,20 yrs. 9 mo.,Texas,"3,534/yr","70,396",,,,,,,,,,,,,,,,,,
3C8FY68B82T325446,2002 CHRYSLER PT CRUISER LMT/DREAM CRSR,Salvage,6,2,2002,Personal,20 yrs. 1 mo.,Texas,"1,127/yr","22,760",2022,Personal,4 months,Texas,---,---,,,,,,,,,,,,
1HGCR2F31DA142648,2013 HONDA ACCORD LX,Salvage,15,1,2013,Personal,9 yrs. 7 mo.,Texas,"7,743/yr","74,401",,,,,,,,,,,,,,,,,,
4T1BE32K94U864596,2004 TOYOTA CAMRY LE/XLE/SE,Salvage,13,2,2004,Personal,5 years,Texas,"2,510/yr","12,553",2009,Personal,13 yrs. 9 mo.,Texas,992/yr,"25,305",,,,,,,,,,,,
1HGCR3F87DA020927,2013 HONDA ACCORD EX-L,,8,1,2013,Personal,9 yrs. 8 mo.,Texas,"5,781/yr","55,725",,,,,,,,,,,,,,,,,,
2GCEC13T961228097,2006 CHEVROLET SILVERADO C1500,,14,4,2006,Personal,14 yrs. 8 mo.,"Texas, Texas",---,"59,341",2006,Personal,14 yrs. 8 mo.,"Texas, Texas",---,"59,341",2021,Personal,1 yr. 7 mo.,Texas,"8,389/yr","73,462",2022,Personal,3 months,Texas,---,---
5YFBU4EE6CP045768,2012 TOYOTA COROLLA BASE/S/LE,Salvage,19,2,2012,Personal lease,3 yrs. 3 mo.,California,"8,091/yr","11,860",2015,Personal,7 yrs. 3 mo.,"California, Texas","7,319/yr","70,530",,,,,,,,,,,,
SAJWA79C65SG43725,2005 JAGUAR XJ8 L,,6,3,2006,Personal,13 yrs. 6 mo.,---,"1,633/yr","22,876",2019,Personal,2 years,California,---,"27,539",2021,Personal,1 yr. 5 mo.,Texas,---,"29,308",,,,,,
JTDBU4EE3DJ115846,2013 TOYOTA COROLLA BASE/S/LE,Salvage,24,1,2013,Personal,9 yrs. 4 mo.,Texas,"6,167/yr","55,218",,,,,,,,,,,,,,,,,,
2HKRM3H78EH544089,2014 HONDA CR-V EXL,Salvage,17,0,,,,,,,,,,,,,,,,,,,,,,,,
2T3DFREVXEW228499,2014 TOYOTA RAV4 LTD,Salvage,,1,2014,Personal,8 yrs. 3 mo.,Oklahoma,"7,693/yr","64,017",,,,,,,,,,,,,,,,,,
JTHBJ46G982252121,2008 LEXUS ES 350,Salvage,2,3,2008,Lease,2 yrs. 11 mo.,California,"7,077/yr","8,551",2011,Personal,3 yrs. 7 mo.,California,"1,599/yr","23,340",2015,Personal,7 yrs. 9 mo.,California,"1,775/yr","36,476",,,,,,
JTMZD32V066011561,2006 TOYOTA RAV4 SPORT,"Branded Titles: Rebuilt, Salvage",19,2,2006,Personal,5 yrs. 9 mo.,Illinois,"4,551/yr","21,185",2012,Personal,10 yrs. 5 mo.,Illinois,---,"80,307",,,,,,,,,,,,
4T1BK36B38U259482,2008 TOYOTA AVALON XL/XLS/TOUR/LTD,Salvage,46,2,2007,Personal,12 yrs. 6 mo.,Arkansas,"4,454/yr","58,625",2020,Personal,2 yrs. 6 mo.,Arkansas,---,"87,744",,,,,,,,,,,,
2T1BU4EE4DC992566,2013 TOYOTA COROLLA BASE/S/LE,Salvage,9,1,2013,Personal lease,10 years,Florida,"7,948/yr","79,485",,,,,,,,,,,,,,,,,,
1N6DD0CW7HN730019,2017 NISSAN FRONTIER SV/DESERT RUNNER,Salvage,10,1,2017,Commercial,5 yrs. 1 mo.,Nebraska,"8,217/yr","42,305",,,,,,,,,,,,,,,,,,
3N1AB6AP4CL613696,2012 NISSAN SENTRA/S/SR/SL,Salvage,30,1,2012,Personal,10 yrs. 8 mo.,Minnesota,"5,073/yr","48,822",,,,,,,,,,,,,,,,,,
1HGCR2F36EA145580,2014 HONDA ACCORD LX,Salvage,7,2,2014,Personal,4 yrs. 8 mo.,Louisiana,"6,651/yr","27,809",2018,Personal,4 years,Louisiana,"15,918/yr","94,761",,,,,,,,,,,,
2HGFG3B59DH526940,2013 HONDA CIVIC LX,"Branded Titles: Not Actual Mileage, Rebuilt, Salvage",7,3,2013,Personal,6 yrs. 6 mo.,Illinois,"3,184/yr","23,648",2020,Personal,1 yr. 8 mo.,Illinois,---,"34,741",2022,Personal,3 months,Illinois,---,"36,193",,,,,,
JN8AZ2NF2C9517193,2012 INFINITI QX56,,57,3,2012,Personal,9 yrs. 7 mo.,"Texas, Mississippi","16,965/yr","165,085",2022,Personal,1 month,Texas,---,---,2022,Personal,6 months,Mississippi,---,"171,022",,,,,,
JM1NA3530R0520705,1994 MAZDA MX-5 MIATA,,2,2,1995,Lease,4 yrs. 7 mo.,Tennessee,---,---,1999,Personal,23 yrs. 5 mo.,Tennessee,---,"12,029",,,,,,,,,,,,
