Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Drury Inn & Suites,,,,10963 Metcalf Ave,,KS,66210,,(913) 345-1500,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/drury-inn-%26-suites/2029/,,38.9298119,-94.665299,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:54,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Bluemont Hotel,,,,1212 Bluemont Ave.,,KS,66502,,(785) 473-7091,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/bluemont-hotel/15797/,,39.1873061,-96.5761804,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:55,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Garnett Hotel & RV Park,,,,109 Prairie Plaza Parkway HWY 169,,KS,66032,,(785) 448-6800,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/garnett-hotel-%26-rv-park/34610/,,38.2773388,-95.2273506,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:55,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
EconoLodge Inn & Suites,,,,7508 Shawnee Mission Pkwy,,KS,66202,,(913) 262-9600,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/econolodge-inn-%26-suites/2020/,,39.015932,-94.672689,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:55,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Doubletree Hotel,,,,10100 College Blvd,,KS,66210,,(913) 451-6100,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/doubletree-hotel/3553/,,38.9286201,-94.7029301,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:55,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Embassy Suites,,,,10601 Metcalf Avenue,,KS,66212,,(913) 649-7060,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/embassy-suites/2042/,,38.9352973,-94.6662205,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:55,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Courtyard by Marriott Wichita East,,,,2975 N. Webb Rd.,,KS,67226,,(316) 636-4600,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/courtyard-by-marriott-wichita-east/35969/,,37.7370244,-97.2279552,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:55,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Courtyard by Marriott Overland Park/Metcalf,,,,11301 Metcalf Avenue,,KS,66212,,(913) 339-9900,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/courtyard-by-marriott-overland-park-metcalf/15372/,,38.9216241,-94.66605,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:55,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Chateau Avalon Hotel & d'Nile Wine Bar,,,,701 Village West Parkway,,KS,66111,,(913) 596-6000,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/chateau-avalon-hotel-%26-dnile-wine-bar/1441/,,39.1112686,-94.8180715,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:56,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Best Western Plus Patterson Park Inn,,,,6100 Patterson Parkway,,KS,67005,,(620) 307-6767,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/best-western-plus-patterson-park-inn/19090/,,37.1294328,-97.0363602,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:56,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Best Western Plus Butterfield Inn,,,,1010 E. 41st,,KS,67601,,(785) 621-4337,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/best-western-plus-butterfield-inn/18692/,,38.8994285,-99.3160746,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:56,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Best Western Overland Park,,,,7200 W. 107th Street,,KS,66212,,(913) 648-7858,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/best-western-overland-park/2041/,,38.9346189,-94.6701831,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:56,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
The Oread,,,,1200 Oread Ave.,,KS,66044,,(785) 843-1200,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/the-oread/30288/,,38.9621262,-95.2425468,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:56,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Staybridge Suites Wichita,,,,2250 N. Greenwich Rd.,,KS,67226,,(316) 927-3888,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/staybridge-suites-wichita/37081/,,37.7237648,-97.2078592,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:57,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Clifton Square Shopping Village,,,,3700 E. Douglas,,KS,67208,,(316) 686-2177,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/clifton-square-shopping-village/36706/,,37.687136,-97.2937324,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:57,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Gibsons Pharmacy,,,,2401 Central Avenue,,KS,67801,,(620) 227-8193,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/gibsons-pharmacy/3704/,,37.7752879,-100.016703,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:57,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Manhattan Town Center,,,,100 Manhattan Town Ctr,,KS,66502,,(785) 539-3500,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/manhattan-town-center/1759/,,39.1793173,-96.5583456,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:57,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Greenwich Place Shopping Center,,,,2716 N. Greenwich Ct.,,KS,67206,,(316) 685-5341,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/greenwich-place-shopping-center/39390/,,37.7323348,-97.2037712,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:58,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Prairiefire,,,,5661 W. 135th Street,,KS,66223,,(913) 338-3800,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/prairiefire/30433/,,38.8832355,-94.65108,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:58,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Hawthorne Plaza,,,,4857 West 119th Street,,KS,66209,,(816) 968-5850,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/hawthorne-plaza/27162/,,38.9127539,-94.64127,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:58,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Engle House,,,,102 Highland Dr,,KS,67410,,(785) 479-3749,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/engle-house/21544/,,38.9294197,-97.2143498,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:58,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Rosberg House,,,,103 E. State St,,KS,67456,,(785) 250-0508,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/rosberg-house/24844/,,38.575177,-97.6754558,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:58,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Back-N-Thyme Bed & Breakfast,,,,1100 South 130th Street,,KS,66012,,(913) 422-5207,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/back-n-thyme-bed-%26-breakfast/1440/,,39.0774977,-94.8817096,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:59,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Yaggy,,,,4603 Nickerson Blvd.,,KS,67502,,(620) 259-6916,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/yaggy/43482/,,38.0905093,-98.0084652,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:59,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Super 8 Motel,,,,1040 Zelfer,,KS,67701,,(785) 462-8248,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/super-8-motel/532/,,39.3703407,-101.0553264,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:59,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Somerset Ridge Vineyard & Winery,,,,29725 Somerset Road,,KS,66071,,913-491-0038,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/somerset-ridge-vineyard-%26-winery/5041/,,38.5883431,-94.7684911,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:59,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Shawnee Indian Mission State Historic Site,,,,3403 W 53rd,,KS,66205-2654,,(913) 262-0867,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/shawnee-indian-mission-state-historic-site/1459/,,39.0323939,-94.624853,Business Service,,travelks,,,,,,,,,2022-12-12 16:14:59,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Flying Moose Antique Mall,,,,9223 W. Kellogg Drive,,KS,67209,,(316) 721-6667,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/flying-moose-antique-mall/1238/,,37.667535,-97.449614,Business Service,,travelks,,,,,,,,,2022-12-12 16:15:00,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Downtown Manhattan,,,,101 N 4th St,,KS,66502,,(785) 537-9683,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/downtown-manhattan/15338/,,39.1796028,-96.5619329,Business Service,,travelks,,,,,,,,,2022-12-12 16:15:01,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Downtown Girard Square,,,,100 S Summit St,,KS,66743,,(620) 724-8918,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/downtown-girard-square/40416/,,37.5107675,-94.8434426,Business Service,,travelks,,,,,,,,,2022-12-12 16:15:01,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Brookwood Shopping Center,,,,2709 SW 29th St.,,KS,66611,,(785) 273-3111,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/brookwood-shopping-center/21053/,,39.0144854,-95.7156908,Business Service,,travelks,,,,,,,,,2022-12-12 16:15:01,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Downtown Antique Mall,,,,313 N Buckeye Ave,,KS,67410,,(785) 263-2782,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/downtown-antique-mall/239/,,38.9178591,-97.2138808,Business Service,,travelks,,,,,,,,,2022-12-12 16:15:01,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Best Western Night Watchman Inn,,,,515 W. Kansas Ave.,,KS,67054,,(620) 723-2244,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/best-western-night-watchman-inn/32696/,,37.6061846,-99.2984516,Business Service,,travelks,,,,,,,,,2022-12-12 16:15:02,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Netherfield Natural Farm,,,,24126 KS 7 Hwy,,KS,66026,,(202) 487-6742,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/netherfield-natural-farm/34562/,,38.3766706,-94.8999484,Business Service,,travelks,,,,,,,,,2022-12-12 16:15:02,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Kansas Country Store,,,,728 Cherokee,,KS,66048,,(913) 651-6761,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/kansas-country-store/4396/,,39.316745,-94.919651,Business Service,,travelks,,,,,,,,,2022-12-12 16:15:02,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
Eleanor's,,,,18605 S Hwy 75,,KS,66537,,(620) 212-4964,,,,,Business,,,,https://www.travelks.com/,https://www.travelks.com/listing/eleanors/33651/,,38.73077,-95.686644,Business Service,,travelks,,,,,,,,,2022-12-12 16:15:02,"Find places to stay in Kansas. Browse listings for details on hotels, motels, bed and breakfasts, cabins, RV sites, campsites and ranches for your trip."
