Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Jared Galleria Of Jewelry Bridge Street Town Centre,,,,200 THE BRIDGE STREET NW,,Alabama,35806-0042,,(256) 971-2879,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Huntsville-AL-2574,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:54,
Jared Galleria Of Jewelry Riverchase Galleria Outparcel,,,,3460 GALLERIA CIRCLE,,Alabama,35244-2366,,(205) 733-2171,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Hoover-AL-2525,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:55,
Jared Galleria Of Jewelry Mcgowin Park,,,,3085 GOVERNMENT BLVD.,,Alabama,36606-2610,,(251) 470-9844,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Mobile-AL-2572,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:55,
Jared Galleria Of Jewelry Chase Corner,,,,1490 TAYLOR RD.,,Alabama,36117-3745,,(334) 273-3255,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Montgomery-AL-2565,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:55,
Jared Galleria Of Jewelry Deptford Landing,,,,2000 CLEMENTS BRIDGE RD.,,New Jersey,08096-2016,,(856) 251-6956,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Woodbury-NJ-2475,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:55,
Jared Galleria Of Jewelry Abq Uptown,,,,2260 LOUISIANA BLVD. NE,,New Mexico,87110-3585,,(505) 830-3075,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Albuquerque-NM-2425,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:55,
Jared Galleria Of Jewelry Utica Park Place,,,,45011 UTICA PARK BLVD.,,Michigan,48315-5951,,(586) 997-9500,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Utica-MI-481,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:55,
Jared Galleria Of Jewelry West Oaks Ii,,,,27795 NOVI RD.,,Michigan,48377-3462,,(248) 449-6613,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Novi-MI-492,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:55,
Jared Galleria Of Jewelry W. 14 Mile Rd.,,,,451 W 14 MILE RD.,,Michigan,48071-1310,,(248) 733-9362,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/MadisonHeights-MI-2405,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:55,
Jared Galleria Of Jewelry Maine Mall,,,,7 PHILBROOK AVE.,,Maine,04106-3208,,(207) 773-5080,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/S.Portland-ME-2448,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:55,
Jared Galleria Of Jewelry Jordan Creek Town Center,,,,101 JORDAN CREEK PKWY.,,Iowa,50266-8181,,(515) 222-5351,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/WestDesMoines-IA-2417,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry South Westnedge Ave.,,,,6307 S. WESTNEDGE AVE.,,Michigan,49002-3545,,(269) 321-3016,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Portage-MI-2560,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry Lindale Mall,,,,159 COLLINS RD. NE,,Iowa,52402-3201,,(319) 378-0404,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/CedarRapids-IA-2578,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry Westfield Annapolis,,,,180 JENNIFER RD.,,Maryland,21401-3269,,(410) 573-0160,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Annapolis-MD-2470,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry Waldorf Marketplace,,,,3088 WALDORF MARKET PLACE,,Maryland,20603-4872,,(301) 638-0692,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Waldorf-MD-2431,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry Fox River Mall - Outparcel,,,,141 N CASALOMA DR.,,Wisconsin,54913-9676,,(920) 731-3313,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/GrandChute-WI-440,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry Shoppes At Fountain Square,,,,16070 W BLUEMOUND RD.,,Wisconsin,53005-6009,,(262) 786-4917,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Brookfield-WI-2408,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry Corbin Park,,,,6675 WEST 135TH STREET,,Kansas,66223-7898,,(913) 851-1500,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/OverlandPark-KS-2478,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry White Marsh Mall,,,,8332 HONEYGO BLVD.,,Maryland,21236-5906,,(410) 931-5380,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Nottingham-MD-2471,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry Pike Center,,,,12101 ROCKVILLE,,Maryland,20852-1605,,(301) 816-6919,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Rockville-MD-2511,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry Arundel Mills - Outparcel,,,,7684 ARUNDEL MILLS BLVD.,,Maryland,21076-1385,,(410) 579-8595,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Hanover-MD-470,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:56,
Jared Galleria Of Jewelry Shops At Stonefield,,,,3928 LENOX AVE.,,Virginia,22901-2660,,(434) 972-7211,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Charlottesville-VA-2583,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:57,
Jared Galleria Of Jewelry Lynnhaven Parkway,,,,656 PHOENIX DR.,,Virginia,23452-7317,,(757) 340-5181,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/VirginiaBeach-VA-2407,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:57,
Jared Vault Potomac Mills,,,,2700 POTOMAC MILLS CIRCLE,,Virginia,22192-4625,,(703) 497-0065,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/PrinceWilliam-VA-4054,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:57,
Jared Galleria Of Jewelry Newport News,,,,12249 JEFFERSON AVE.,,Virginia,23602-6970,,(757) 881-9212,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/NewportNews-VA-2406,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:57,
Jared Galleria Of Jewelry Chesterfield Towne Cntr Outpar,,,,11230 MIDLOTHIAN TURNPIKE,,Virginia,23235-4714,,(804) 897-8380,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Richmond-VA-487,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:57,
Jared Galleria Of Jewelry Spotsylvania Mall,,,,3102 PLANK RD.,,Virginia,22407-4900,,(540) 548-2081,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Fredericksburg-VA-2503,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:57,
Jared Galleria Of Jewelry Fair Lakes Center,,,,12960 FAIR LAKES SHOPPING CTR.,,Virginia,22033-5176,,(703) 818-8218,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Fairfax-VA-423,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:58,
Jared Galleria Of Jewelry Short Pump Town Cntr Outparcel,,,,11724 W BROAD ST.,,Virginia,23233-1005,,(804) 364-4915,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Richmond-VA-495,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:58,
Jared Galleria Of Jewelry Dulles Town Center,,,,21115 DULLES TOWN CIRCLE,,Virginia,20166-2473,,(703) 433-2305,,,,,Business,,,,https://www.jared.com/store-finder/view-all-states,https://www.jared.com/store/Dulles-VA-452,,,,Jared Store,,jared,,,,,,,,,2022-12-15 13:05:58,
