Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Barnhart Crane & Rigging Company,,,,2163 Airways Boulevard,,TN,38114,,(901) 775-3000,,,http://www.barnhartcrane.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/barnhart-crane-rigging-company-1252,,,,CRANES & RIGGING SERVICE,,memphischamber,,,,,,,,,2022-12-01 15:15:09,The easy way to find businesses and members in the Greater Memphis Chamber
7K Metals DBA Christina Isby-Ra'sool,,,,7739 Lipscomb Drive,,TN,38125,,(731) 293-3070,,,http://www.7kmetals.com/buywholesale,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/7k-metals-dba-christina-isby-ra-sool-27239,,,,INVESTMENTS,,memphischamber,,,,,,,,,2022-12-01 15:15:09,The easy way to find businesses and members in the Greater Memphis Chamber
901 Vascular,,,,"6584 Poplar Avenue, Suite 102",,TN,38138,,(901) 519-4690,,,http://www.901-Vascular.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/901-vascular-27839,,,,MEDICAL GROUP PRACTICE,,memphischamber,,,,,,,,,2022-12-01 15:15:09,The easy way to find businesses and members in the Greater Memphis Chamber
"1st Priority Restoration, LLC",,,,764 Rocky Point Road,,TN,38018,,(901) 283-6030,,,http://www.1stpriorityofmemphis.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/1st-priority-restoration-llc-26926,,,,"CARPET, RUG, & UPHOLSTERY CLEANERS",,memphischamber,,,,,,,,,2022-12-01 15:15:09,The easy way to find businesses and members in the Greater Memphis Chamber
4Junior League of Memphis,,,,PO Box 1015,,TN,38088,,(901) 452-2151,,,http://www.jlmemphis.org,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/4junior-league-of-memphis-7239,,,,NON-PROFIT,,memphischamber,,,,,,,,,2022-12-01 15:15:09,The easy way to find businesses and members in the Greater Memphis Chamber
911 Restoration Memphis Metro,,,,3562 Park Avenue,,TN,38111,,(901) 591-0594,,,http://www.911restorationmemphismetro.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/911-restoration-memphis-metro-26881,,,,,,memphischamber,,,,,,,,,2022-12-01 15:15:09,The easy way to find businesses and members in the Greater Memphis Chamber
4D Marketing & Business Solutions Firm,,,,3725 Champion Hills Drive,,Tennessee,38125,,(901) 414-8098,,,http://www.4dmarketingbusinesssolutions.com/,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/4d-marketing-business-solutions-firm-27019,,,,MARKETING AND COMMUNICATION SERVICES,,memphischamber,,,,,,,,,2022-12-01 15:15:09,The easy way to find businesses and members in the Greater Memphis Chamber
First Tennessee - Wolfchase,,,,2750 North Germantown Road,,TN,38133,,(901) 387-3800,,,http://www.firsttennessee.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/first-tennessee-wolfchase-memphis-18310,,,,BANKS,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
"Fernvie, LLC",,,,"263 East Butler Avenue, #205",,TN,38126,,(901) 443-3399,,,http://www.fernvie.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/fernvie-llc-27111,,,,INFORMATION TECHNOLOGY CONSULTANTS,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
First Tennessee - Wolf River,,,,2055 South Houston Levee Road,,TN,38139,,(907) 854-5648,,,http://www.firsttennessee.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/first-tennessee-wolf-river-germantown-18309,,,,BANKS,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
"Fullen Dock & Warehouse, LLC",,,,382 Klinke Avenue,,TN,38127-1420,,(901) 358-9544,(800) 467-7104,,http://www.fullendock.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/fullen-dock-warehouse-llc-11064,,,,RIVER TERMINALS,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
Finard Properties,,,,3460 Plaza Avenue,,TN,38111,,(901) 355-3950,,,http://www.finardproperties.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/finard-properties-9586,,,,REAL ESTATE MANAGEMENT,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
First Tennessee - Germantown,,,,7640 Poplar Avenue,,TN,38138,,(901) 759-7868,,,http://www.firsttennessee.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/first-tennessee-germantown-germantown-18282,,,,BANKS,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
Fibrenew Greater Memphis,,,,,,TN,38016,,(901) 633-3259,,,http://www.Fibrenew.com/GreaterMemphis,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/fibrenew-greater-memphis-27347,,,,,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
"Monica Burt and Associates, LLC",,,,802 Rozelle Street,,TN,38104,,(901) 607-2744,,,https://www.burtandassociates.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/monica-burt-and-associates-llc-27937,,,,,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
"Memphis Foods, LLC (Zaxby's - Union Ave.)",,,,2240 Union Ave,,TN,38104,,(901) 417-7918,,,http://www.zaxbys.com,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/memphis-foods-llc-zaxby-s-union-ave-24242,,,,RESTAURANTS,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
Macy's Carriage Crossing,,,,4660 Merchants Park,,TN,38017,,,,,,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/macy-s-carriage-crossing-26745,,,,,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
Launch Tennessee,,,,"211 7th Avenue North, Suite 205",,TN,37219,,(615) 673-4419,,,http://www.launchtn.org,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/launch-tennessee-25284,,,,,,memphischamber,,,,,,,,,2022-12-01 15:15:10,The easy way to find businesses and members in the Greater Memphis Chamber
Momentum Nonprofit Partners,,,,630 South Cooper,,TN,38104,,(901) 684-6605,,,http://www.momentumnonprofitpartners.org,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/momentum-nonprofit-partners-52,,,,NON-PROFIT,,memphischamber,,,,,,,,,2022-12-01 15:15:11,The easy way to find businesses and members in the Greater Memphis Chamber
Memphis Communications Corporation,,,,4771 Summer Avenue,,TN,38122,,(901) 725-9271,(866) 805-5893,,https://www.memphiscommunications.net,,Business,,,,https://members.memphischamber.com/list,https://members.memphischamber.com/list/member/memphis-communications-corporation-2615,,,,OFFICE EQUIPMENT - SALES & SERVICE,,memphischamber,,,,,,,,,2022-12-01 15:15:11,The easy way to find businesses and members in the Greater Memphis Chamber
