Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Fortinet,,,,899 Kifer Road,,CA,94086,,(408) 235-7700,,,https://www.kctechcouncil.com/,"https://www.linkedin.com/company/fortinet/mycompany/, https://www.facebook.com/Fortinet/, https://twitter.com/fortinet",Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/fortinet-4093,,,,Security Services,,kctechcouncil,,,,,,,,,2022-12-07 10:10:39,The easy way to find businesses and members in the KC Tech Council
FNTS,Mike Miranda,Mike,Miranda,201 N. 16th Street,,NE,68102,,(913) 226-9628,,,https://www.kctechcouncil.com/,"https://www.linkedin.com/company/fnts/mycompany/, https://www.facebook.com/FirstNationalTechnologySolutions/",Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/fnts-4169,,,,IT Services & Consulting,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
Fishtech,,,,13333 Holmes Road,,MO,64145,,855-404-TECH (8324),,,https://www.kctechcouncil.com/,,Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/fishtech-kansas-city-2588,,,,IT Services & Consulting,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
KC Scholars,,,,8080 Ward Pkwy,,MO,64114,,(816) 581-5700,,,https://www.kctechcouncil.com/,,Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/kc-scholars-4094,,,,,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
KC Digital Drive,,,,111 W. 10th Street,,MO,64105,,(913) 475-9885,,,https://www.kctechcouncil.com/,"https://www.linkedin.com/company/kcdigitaldrive/, https://www.facebook.com/kcdigitaldrive, https://twitter.com/kcdigitaldrive",Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/kc-digital-drive-4147,,,,Community Organizations,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
LaunchCode,,,,210 W. 19th Terrace,,MO,64108,,,,,https://www.kctechcouncil.com/,,Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/launchcode-310,,,,Community Organizations,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
Honeywell Federal Manufacturing and Technologies,,,,14520 Botts Rd.,,MO,64147,,(816) 488-7222,,,https://www.kctechcouncil.com/,,Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/honeywell-federal-manufacturing-and-technologies-540,,,,,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
Lumen,,,,800 E 101st Terr,,MO,64133,,(913) 312-2725,,,https://www.kctechcouncil.com/,,Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/lumen-4005,,,,Telecommunications,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
Lockton Companies,,,,444 West 47th Street,,MO,64112-1906,,(816) 960-9444,,,https://www.kctechcouncil.com/,https://www.linkedin.com/company/7542?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A11411121146,Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/lockton-companies-155,,,,Accountants,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
Alpha Baller Technologies,Mr. Askia Howell,Askia,Howell,4010 Foothills Blvd,,CA,95747,,(415) 744-4630,,,https://www.kctechcouncil.com/,https://www.linkedin.com/in/alpha-baller-a63989b1,Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/alpha-baller-technologies-4148,,,,IT Services & Consulting,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
Clarivate Analytics(US) LLC,,,,3133 West Frye Rd,,AZ,85226,,(816) 885-4018,,,https://www.kctechcouncil.com/,,Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list/member/clarivate-analytics-us-llc-4191,,,,,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
Business Directory Search,,,,,,,,,,,,https://www.kctechcouncil.com/,,Business,,,,https://business.kctechcouncil.com/list/,https://business.kctechcouncil.com/list,,,,,,kctechcouncil,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the KC Tech Council
