Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Jimmyjohns Store 3848,,,,107 Arnold St NW,,AL,35055,,256-737-4000,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,34.1794624,-86.84602,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
Jimmyjohns Store 4278,,,,587 US-31,,AL,35640,,256-286-0099,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,34.44001,-86.94249,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
Jimmyjohns Store 4178,,,,1919 11th Ave S,,AL,35205,,205-933-2425,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,33.5001221,-86.79681,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
Jimmyjohns Store 4168,,,,323 20th St N,,AL,35203,,205-957-6565,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,33.5172043,-86.80715,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
Jimmyjohns Store 2034,,,,3411 Colonnade Pkwy,,AL,35243,,205-262-4788,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,33.43841,-86.72922,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
Jimmyjohns Store 3014,,,,1919 Kentucky Ave,,AL,35216,,205-637-0707,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,33.44698,-86.79267,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
Jimmyjohns Store 3561,,,,5431 Patrick Way,,AL,35235,,205-655-4104,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,33.60932,-86.62592,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
Jimmyjohns Store 1657,,,,4730 Chace Circle,,AL,35244,,205-682-2777,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,33.3687477,-86.7998047,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
Jimmyjohns Store 3013,,,,5250 Medford Dr,,AL,35244,,205-985-2000,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,33.35584,-86.85505,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
Jimmyjohns Store 3560,,,,634 1st St N,,AL,35007,,205-564-8228,,,,,Business,,,,https://www.jimmyjohns.com/find-a-jjs/,,,33.25048,-86.8142242,jimmyjohns Store,,jimmyjohns,,,,,,,,,12/15/2022 16:31,"With 2,800 locations across 43 states in the U.S, Jimmy John's is focused on making Freaky Fast sandwiches using only the freshest ingredients."
