Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"Moody, Andrew L. Sr.",,,,180 Car Road,,Ga,30241,,(706) 416-1307,,,,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/moody-andrew-l-sr-15379,,,,Individual,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
"Mike Gilmartin, Retired",,,,,,GA,30241,,,,,,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/mike-gilmartin-retired-16001,,,,Business Service,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
"Miller, William B., DMD, PC",,,,104 Old Mill Rd,,GA,30241,,(706) 884-0049,,,http://www.drbillmiller.com,http://facebook.com/pages/LaGrangeOrthodontics,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/miller-william-b-dmd-pc-2137,,,,Health Care / Medical,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
"ASTORIA SERVICES, LLC",,,,POBOX 415,,GA,30241,,(404) 254-3130,,,,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/astoria-services-llc-16045,,,,Real Estate & Developers,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
"Merna Painting & Coatings, Inc.",,,,212 New Airport Rd.,,GA,30240,,(706) 883-8903,,,http://www.mernapaint.com,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/merna-painting-coatings-inc-lagrange-2402,,,,Contractors & Construction,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
Quality Import Automotive,,,,1112 Hogansville Road,,GA,30240,,(706) 845-9749,,,http://www.qualityimportauto.com,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/quality-import-automotive-15102,,,,Auto/Marine Sales & Service,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
Randy Nix,,,,P.O. Box 991,,GA,30241,,(706) 302-2463,,,,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/randy-nix-lagrange-5714,,,,Individual,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
"LaGrange Med-Center, LLC.",,,,309 Vernon Street,,GA,30241,,(706) 885-9110,,,,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/lagrange-med-center-llc-15915,,,,Health Care / Medical,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
King Investments of Troup County LLC,,,,2008 Whitesville Road,,GA,30240,,(706) 302-8585,,,,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/king-investments-of-troup-county-llc-15003,,,,Finance & Insurance,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
Keeble Rental,,,,PO Box 1962,,GA,30241,,(706) 881-2734,,,,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/keeble-rental-5528,,,,Real Estate & Developers,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
Kay Durand,,,,126 College Ave.,,GA,30240,,(706) 882-0790,,,,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/kay-durand-lagrange-2163,,,,Individual,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
Krewe of Mask,,,,,,GA,30241,,,,,http://www.kreweofmask.com,http://facebook.com/pages/kreweofmask.lagrange/,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/krewe-of-mask-15845,,,,Arts & Culture,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
Kroger #339,,,,203-A Commerce Ave.,,GA,30240,,(706) 883-6167,,,http://www.kroger.com,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/kroger-339-2950,,,,Retail,,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
Sample Express,,,,1101 O.G. Skinner Dr.,,GA,31833-,,(706) 643-4637,,,http://www.sampleexpress.com,,Business,,,,https://business.lagrangechamber.com/list/,https://business.lagrangechamber.com/list/member/sample-express-14657,,,,"Advertising, Design & Marketing",,lagrangechamber,,,,,,,,,2022-12-20 10:58:35,The easy way to find businesses and members in the LaGrange-Troup County Chamber of Commerce
