Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"Wright on the Park, Inc.",,,,17 S. Federal Avenue,,IA,50401,,(641) 423-0689,,,http://www.wrightonthepark.org,,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/wright-on-the-park-inc-6935,,,,Attractions,,clearlakeiowa,,,,,,,,,2022-12-19 17:18:20,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
Forest City Economic Development Corporation,,,,145 East K Street,,IA,50436,,(641) 585-5560,,,,,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/forest-city-economic-development-corporation-forest-city-6169,,,,Business Service,,clearlakeiowa,,,,,,,,,2022-12-19 17:18:20,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
Woody's,,,,430 7th Ave. SE,,IA,50423,,(641) 231-1620,,,,http://facebook.com/www.facebook.com/Woodys-Hot-Dogs-1943458909299742/?ref=page_internalpages/,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/woody-s-8164,,,,Food Trucks,,clearlakeiowa,,,,,,,,,2022-12-19 17:18:21,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
Visit Mason City,,,,2021 4th Street SW,,IA,50401,,(641) 422-1663,,,http://www.visitmasoncityiowa.com,,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/visit-mason-city-4927,,,,Business Service,,clearlakeiowa,,,,,,,,,2022-12-19 17:18:21,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
YSS Francis Lauer,,,,50 North Eisenhower Avenue,,IA,50401,,(641) 423-7362,,,https://www.yss.org/locations/francis-lauer/,,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/yss-francis-lauer-6000,,,,Organizations,,clearlakeiowa,,,,,,,,,2022-12-19 17:18:21,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
Young Construction,,,,1539 N. Federal Ave.,,IA,50401,,(641) 430-0655,,,http://www.youngconstructionnorthiowa.com,https://www.facebook.com/youngconstructionofIowa,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/young-construction-7379,,,,"Construction Companies-Homebuilders, General Contractors/Dev",,clearlakeiowa,,,,,,,,,2022-12-19 17:18:21,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
Yohn Co.,,,,309 South 20th Street,,IA,50428,,(641) 357-4604,,,https://yohnco.com/,https://www.facebook.com/YohnCo-123522431009732/,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/yohn-co-1909,,,,"Cement, Sand, Gravel & Stone",,clearlakeiowa,,,,,,,,,2022-12-19 17:18:21,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
Ventura United Methodist,,,,,,IA,50482,,(641) 829-3600,,,,,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/tourism-ventura-united-methodist-ventura-7514,,,,Clear Lake Churches,,clearlakeiowa,,,,,,,,,2022-12-19 17:18:21,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
Deb Wirth,,,,401 2nd St. SW,,IA,50424-1150,,(641) 357-0573,,,,,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/deb-wirth-buffalo-center-5516,,,,Business Service,,clearlakeiowa,,,,,,,,,2022-12-19 17:18:21,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
DAR Park,,,,100 Fletcher Drive,,IA,50428,,(641) 357-7010,,,,,Business,,,,https://members.clearlakeiowa.com/list,https://members.clearlakeiowa.com/list/member/tourism-dar-park-clear-lake-7476,,,,Clear Lake City Parks,,clearlakeiowa,,,,,,,,,2022-12-19 17:18:21,The easy way to find businesses and members in the Clear Lake Area Chamber of Commerce
