Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
MINISTERIO RESPLANDOR DE LUZ INC,,,,"4864 JIMMY CARTER BLVD SUITE 201, NORCROSS",,GA,30093,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242734/,,,,Domestic Nonprofit Corporation,,georgiacompany,,,,,,,,,2022-12-13 13:02:29,www.georgiacompany.org is a free database collect business information about Georgia Companies.
"Villa Crest, LLC",,,,"917 N. Tennessee Street, Cartersville",,GA,30120,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242771/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:29,www.georgiacompany.org is a free database collect business information about Georgia Companies.
"Brookwood Five Forks, LLC",,,,"312 Shire Way, Lawrenceville",,GA,30044,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242876/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:29,www.georgiacompany.org is a free database collect business information about Georgia Companies.
CENTROMEX LLC,,,,"67TH STREET, STE 6, MOULTRIE",,GA,31768,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242822/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:30,www.georgiacompany.org is a free database collect business information about Georgia Companies.
MBH MASONRY SERVICES LLC,,,,2345 SHRBROOKE,,CT,30345,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242883/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:30,www.georgiacompany.org is a free database collect business information about Georgia Companies.
JOHN SMOKE SHOP LLC,,,,"5349 GUTHRIE RD, LOGANVILLE",,GA,30052,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242890/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:32,www.georgiacompany.org is a free database collect business information about Georgia Companies.
Lily Nails LLC,,,,"5885 Cumming Hwy, Ste 303, Sugar Hill",,GA,30518,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20243004/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:32,www.georgiacompany.org is a free database collect business information about Georgia Companies.
"Nolan Investments Enterprises 2, LLC",,,,"1000 Holcomb Woods Parkway, Building 300 - Suite 315A, Roswell",,GA,30076,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20241923/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:32,www.georgiacompany.org is a free database collect business information about Georgia Companies.
"David A Johnson Tax Holdings, LLC",,,,"270 Constitution Blvd, Lawrenceville",,GA,30046,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242738/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:34,www.georgiacompany.org is a free database collect business information about Georgia Companies.
"Oakwood East Land Holdings, LLC",,,,"1050 Cambridge Square, Suite A, Alpharetta",,GA,30009,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242891/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:37,www.georgiacompany.org is a free database collect business information about Georgia Companies.
Your Room Atlanta LLC,,,,"2184 Cheshire Bridge Rd NE, Atlanta",,GA,30324,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20241927/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:38,www.georgiacompany.org is a free database collect business information about Georgia Companies.
Land & Limb LLC,,,,"410 Billy Pyle Rd SW, Rome",,GA,30165,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242896/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:38,www.georgiacompany.org is a free database collect business information about Georgia Companies.
Good Miles Good Motors llc,,,,"3060 Continental Colony pkwy apt402, Atlanta",,GA,30331,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242861/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:39,www.georgiacompany.org is a free database collect business information about Georgia Companies.
MJ 725 LLC,,,,"2095 MEADOW PEAK RD, DULUTH",,GA,30097,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242843/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:40,www.georgiacompany.org is a free database collect business information about Georgia Companies.
,,,,,,,,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20243049/,,,,,,georgiacompany,,,,,,,,,2022-12-13 13:02:40,www.georgiacompany.org is a free database collect business information about Georgia Companies.
,,,,,,,,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242794/,,,,,,georgiacompany,,,,,,,,,2022-12-13 13:02:40,www.georgiacompany.org is a free database collect business information about Georgia Companies.
,,,,,,,,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242751/,,,,,,georgiacompany,,,,,,,,,2022-12-13 13:02:40,www.georgiacompany.org is a free database collect business information about Georgia Companies.
"Surani Properties, Inc",,,,"5946 Princeton Run Trail, Tucker",,GA,30084,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242781/,,,,Domestic Profit Corporation,,georgiacompany,,,,,,,,,2022-12-13 13:02:41,www.georgiacompany.org is a free database collect business information about Georgia Companies.
"Holland Tax & Business Service, LLC",,,,"2127 Powers Ferry Road SE, Apt J, Marietta",,GA,30067,,,,,,,Business,,,,https://www.georgiacompany.org/,https://www.georgiacompany.org/companies/20242767/,,,,Domestic Limited Liability Company,,georgiacompany,,,,,,,,,2022-12-13 13:02:42,www.georgiacompany.org is a free database collect business information about Georgia Companies.
