Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Automotive Hardware Service,,,,P.O. Box 10689,,IN,46853,,(260) 456-4567,,,,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/automotive-hardware-service-1279,,,,Automobile Body Repair Supplies-Wholesale,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:12,The easy way to find businesses and members in the Greater Fort Wayne Inc.
IWM Consulting Group,,,,1015 Production Rd,,IN,46808,,(260) 497-9620,2604423017,,http://www.iwmconsult.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/iwm-consulting-group-4947,,,,Environmental Consultants,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:12,The easy way to find businesses and members in the Greater Fort Wayne Inc.
816 Pint & Slice,,,,816 South Calhoun Street,,IN,46802,,(260) 423-6600,,,http://www.pintandslice.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/816-pint-slice-19342,,,,Restaurants,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:12,The easy way to find businesses and members in the Greater Fort Wayne Inc.
1st Source Bank- East State Branch,,,,6506 East State Boulevard,,IN,46815,,(260) 493-2110,,,http://www.1stsource.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/1st-source-bank-east-state-branch-6015,,,,Banks,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:12,The easy way to find businesses and members in the Greater Fort Wayne Inc.
1st Source Bank - Dupont Oaks Branch,,,,4605 East Dupont Road,,IN,46845,,(260) 310-6210,,,http://www.1stsource.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/1st-source-bank-dupont-oaks-branch-21163,,,,Banks,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:12,The easy way to find businesses and members in the Greater Fort Wayne Inc.
1st Source Bank - Pine Valley Branch,,,,10633 Coldwater Road,,IN,46845,,(260) 338-0077,,,http://www.1stsource.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/1st-source-bank-pine-valley-branch-6022,,,,Banks,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:12,The easy way to find businesses and members in the Greater Fort Wayne Inc.
1st Source Bank - Waynedale Branch,,,,5719 Bluffton Road,,IN,46809,,(260) 747-7456,,,http://www.1stsource.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/1st-source-bank-waynedale-branch-6019,,,,Banks,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:12,The easy way to find businesses and members in the Greater Fort Wayne Inc.
1st Source Bank- Illinois Road,,,,7821 Carnegie Boulevard,,IN,46804,,(260) 310-6212,,,http://www.1stsource.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/1st-source-bank-illinois-road-21162,,,,Banking Services,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:12,The easy way to find businesses and members in the Greater Fort Wayne Inc.
1st Source Bank- North Anthony Branch,,,,3602 North Anthony Boulevard,,IN,46805,,(260) 484-8511,,,http://www.1stsource.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/1st-source-bank-north-anthony-branch-6013,,,,Banks,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:12,The easy way to find businesses and members in the Greater Fort Wayne Inc.
DeHaven Chevrolet,,,,5200 Illinois Road,,IN,46804,,(260) 494-3425,,,http://www.summitcitychevy.com/,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/dehaven-chevrolet-5044,,,,Automotive,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
"Dahm Brothers, Inc.",,,,2009 Lakeview Drive,,IN,46808,,(260) 432-4552,,,http://www.dahmbrothers.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/dahm-brothers-inc-2663,,,,Roofing Contractors,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
"Dulin, Ward & DeWald, Inc.",,,,"9921 Dupont Circle Drive West, Suite 300",,IN,46825,,(260) 423-2414,,,http://www.dwdcpa.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/dulin-ward-dewald-inc-2700,,,,Accountants-Certified Public,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
Dreyer’s Grand Ice Cream,,,,3426  N. Wells Street,,IN,46808,,(260) 483-3102,,,https://www.dreyersgrandicecream.com/,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/dreyer-s-grand-ice-cream-1770,,,,Manufacturers,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
D.R. Horton America's Builder,,,,5710 Coventry Lane,,IN,46804,,(260) 490-4131,,,https://www.drhorton.com/community-finder#lctm=Fort%20Wayne,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/d-r-horton-america-s-builder-16356,,,,Home Builders,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
D.O. McComb & Sons,,,,1140 Lake Avenue,,IN,46805,,(260) 426-9494,,,http://www.mccombandsons.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/d-o-mccomb-sons-3029,,,,Funeral Directors,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
"Don R. Fruchey, Inc.",,,,5608 Old Maumee Road,,IN,46803,,(260) 749-8502,,,http://www.donrfruchey.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/don-r-fruchey-inc-2791,,,,Machinery-Movers & Installers,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
Don Hall's Fort Wayne,,,,Hall's Corporate Office,,IN,46774,,(260) 493-3522,,,http://www.donhallsguesthouse.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/don-hall-s-fort-wayne-6361,,,,Banquet Rooms,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
Club 720,,,,6347 Constitution Drive,,IN,46804,,(260) 580-4343,,,http://www.club720.org,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/club-720-29997,,,,Software & Web Development,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
Classic Products Corp.,,,,4617 Industrial Road,,IN,46825,,(260) 484-2695,,,http://www.classicproducts.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/classic-products-corp-1198,,,,Promotional Products,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
City Wide Facility Solutions,,,,7535 W. Jefferson Blvd,,IN,46804,,(260) 387-7040,,,https://fortwayne.gocitywide.com/,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/city-wide-facility-solutions-30028,,,,Building Maintenance,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
Clean Fuels National,,,,4620 E 900 S,,IN,46759,,(260) 346-2500,,,http://www.cleanfuelsnational.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/clean-fuels-national-27314,,,,Petroleum Products,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
City Glass Specialty Company,,,,2124 South Calhoun Street,,IN,46802,,(260) 744-3301,,,http://www.cityglassspecialty.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/city-glass-specialty-company-2608,,,,Picture Framing,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
1st Source Bank- Bluffton Branch,,,,124 S. Main Street,,IN,46714,,(260) 824-4800,,,http://www.1stsource.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/1st-source-bank-bluffton-branch-21116,,,,Banks,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
Circle City Audio,,,,4008 Lower Huntington Road,,IN,46809,,(260) 399-6701,,,http://www.ccaudio.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/circle-city-audio-17936,,,,Arts & Entertainment,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
Trubble Brewing,,,,2725 Broadway,,IN,46807,,(260) 267-6082,,,http://www.trubblebrewing.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/trubble-brewing-25628,,,,Restaurants,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
Tuthill Transfer Systems,,,,8825 Aviation Drive,,IN,46809,,(260) 747-7524,,,http://www.tuthill.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/tuthill-transfer-systems-1959,,,,Manufacturers,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:13,The easy way to find businesses and members in the Greater Fort Wayne Inc.
"True North Strategic Advisors, LLC",,,,"347 W. Berry St, Ste 100",,IN,46802,,(260) 420-5050,,,http://www.truenorthsa.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/true-north-strategic-advisors-llc-6518,,,,Consultants,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:14,The easy way to find businesses and members in the Greater Fort Wayne Inc.
"Troutner and Company, LLC",,,,6345 Constitution Drive,,IN,46804,,(260) 755-2671,,,http://www.americannational.com,,Business,,,,https://business.greaterfortwayneinc.com/list,https://business.greaterfortwayneinc.com/list/member/troutner-and-company-llc-29934,,,,Insurance,,greaterfortwayneinc,,,,,,,,,2022-12-16 11:29:14,The easy way to find businesses and members in the Greater Fort Wayne Inc.
