Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"El Patio Mexican Restaurant, LLC",,,,1995 Highway 51 ByPass N,,TN,38024,,(731) 287-9488,,,http://www.,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/el-patio-mexican-restaurant-llc-dyersburg-1327,,,,Restaurants,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
TN Small Business Dev. Center,,,,Dyersburg State Community College,,TN,38024,,(731) 286-3201,,,http://www.tsbdc.org,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/tn-small-business-dev-center-dyersburg-1951,,,,Business Resources,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
The Mustard Seed,,,,384 HWY 51 Bypass W,,TN,38024,,(731) 325-5478,,,http://www.themustardseedtn.com/,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/the-mustard-seed-3094,,,,Apparel,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
The Uptown Girl,,,,210 W Court St,,TN,38024,,(731) 676-2223,,,http://www.theuptowngirl.net,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/the-uptown-girl-3373,,,,,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
The King Mansion,,,,512 Finley Street,,TN,38024,,(731) 285-0374,,,,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/the-king-mansion-dyersburg-2884,,,,Facility Rental,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
The Willow Tree LLC / R&D Cakes & Catering,,,,128 E. Palestine Ave,,TN,38240,,(731) 445-6610,,,,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/the-willow-tree-llc-r-d-cakes-catering-3319,,,,Caterers,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Tennessee Safari Park,,,,618 Conley Rd,,TN,38001,,(731) 696-4423,,,http://www.tennesseesafaripark.com/,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/tennessee-safari-park-alamo-3187,,,,Entertainment,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Servall Termite & Gutter,,,,890 University Street,,TN,38237,,(731) 286-0500,,,http://www.servallpestcontrol.com,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/servall-termite-gutter-martin-1839,,,,Pest Control Service,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Colonial Diversified Polymer Products,,,,2055 Forrest St. Extended,,TN,38025-0930,,(731) 287-3636,,,http://www.colonialdpp.com,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/colonial-diversified-polymer-products-1173,,,,Manufacturers,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Reelfoot Family Walk - In Clinic,,,,708 E Court Street,,TN,38024,,(731) 285-8247,,,http://rfwic.com,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/reelfoot-family-walk-in-clinic-3140,,,,Physicians/Clinics,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Cape Regional Eye Center,,,,401 Tickle St. Extended,,TN,38025-0647,,(731) 286-2801,,,http://www.,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/cape-regional-eye-center-dyersburg-1131,,,,"Optometrists, Opthamologists",,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
RG Construction,,,,2139 St. Andrews Cv,,TN,38024,,676-7211,,,,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/rg-construction-dyersburg-3178,,,,Contractors/Developers,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Matthew 25:40 INC.,,,,432  W. Court Street,,TN,38024,,(731) 286-9054,,,http://www.matthew-2540.org,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/matthew-25-40-inc-dyersburg-2829,,,,Clubs/Organizations,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
RFW Construction Group,,,,1801 Highway 51 Bypass N,,TN,38024,,(731) 286-5661,,,http://www.rfwgroup.com,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/rfw-construction-group-dyersburg-1798,,,,Contractors/Developers,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
RentalCity Property Management,,,,1535 Industrial Park Rd,,TN,38024,,(731) 285-5561,,,http://www.dyersburg4rent.com,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/rentalcity-property-management-3190,,,,Property Management,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Reverse Laser and Medical Aesthetics,,,,"1190 US Hwy 51 Byp W, Suite C",,TN,38024,,(731) 478-4768,,,,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/reverse-laser-and-medical-aesthetics-3344,,,,Spas,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Russom's CARSTAR Collision,,,,2340 Upper Finley Road,,TN,38024,,(731) 882-1971,,,http://www.carstar.com/russom,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/russom-s-carstar-collision-dyersburg-3117,,,,Body Shop,,dyerchamber,,,,,,,,,2022-12-01 15:54:34,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Dyer County Fair Association,,,,296 James Rice Drive,,TN,38025-1113,,(731) 285-9388,,,http://www.,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/dyer-county-fair-association-dyersburg-1248,,,,Clubs/Organizations,,dyerchamber,,,,,,,,,2022-12-01 15:54:35,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
Davis Wealth Services,,,,575 Mall Blvd Suite C,,TN,38024,,(731) 285-0097,877-269-0708,,http://www.daviswealthservices.com,,Business,,,,https://business.dyerchamber.com/list,https://business.dyerchamber.com/list/member/davis-wealth-services-dyersburg-2946,,,,Financial Planners/Advisors,,dyerchamber,,,,,,,,,2022-12-01 15:54:35,The easy way to find businesses and members in the Dyersburg/Dyer County Chamber of Commerce
