Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Dorr Township,,,,,,MI,49348,,,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/dorr-township-692,,,,,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
"DeWeerd, Michael L., DDS",,,,Dr. Michael DeWeerd,,MI,49348,,(269) 792-2051,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/deweerd-michael-l-dds-wayland-30,,,,Dental,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Priority Properties,,,,403 Mill Street #2,,MI,49348,,(269) 792-9388,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/priority-properties-wayland-351,,,,Apartments/Condos,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Pro Collision of West Michigan,,,,4089 Remembrance Rd,,MI,49504,,(616) 791-4988,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/pro-collision-of-west-michigan-grand-rapids-352,,,,Auto Body Repair/Refinishing,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Papa Mineos,,,,165 W Superior St,,MI,49348,,(269) 397-1717,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/papa-mineos-697,,,,Restaurants,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Permoda Air Temperature Specialties,,,,677 136th Ave,,MI,49348,,(269) 792-1540,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/permoda-air-temperature-specialties-wayland-343,,,,Heating & Cooling,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Powell Relocation Group,,,,4937 Starr St SE,,MI,49546,,(616) 956-0900,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/powell-relocation-group-grand-rapids-348,,,,Relocation/Moving Services,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Superior Beauty Bar,,,,102 W Superior St,,MI,49348,,(616) 915-8260,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/superior-beauty-bar-700,,,,,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Shear Concepts Hair & Tanning,,,,1126 W Superior,,MI,49348,,(269) 792-8547,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/shear-concepts-hair-tanning-386,,,,"Beauty, Hair and Nail Salons",,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
New Life Community Church,,,,160 Pine Street,,MI,49348,,269.NEW.LIFE,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/new-life-community-church-323,,,,Church/Religious Organizations,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Shine on Sales Inc,,,,111 124th Ave,,MI,49344-9759,,(269) 672-2102,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/shine-on-sales-inc-635,,,,Auto Sales and Service,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Lakeshore Advantage,,,,201 W. Washington Avenue,,MI,49464,,(616) 772-5226,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/lakeshore-advantage-660,,,,Non-Profit Organization,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
Lakeside Plumbing,,,,12233 Cobb Lake Road,,MI,49348,,(269) 795-2257,,,,,Business,,,,https://waylandchamber.chambermaster.com/list/,https://waylandchamber.chambermaster.com/list/member/lakeside-plumbing-wayland-271,,,,Plumbing,,waylandchamber,,,,,,,,,2022-12-08 10:56:30,The easy way to find businesses and members in the Wayland Area Chamber of Commerce
