Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"ARVAC, Inc.",Kelley Reames,Kelley,Reames,124 North Elm,,AR,72855,,(479) 963-6325,,,http://www.arvacinc.org/,https://www.facebook.com/ArvacInc/?fref=ts,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/arvac-inc-10,,,,Healthcare & Fitness,,parisarkansas,,,,,,,,,2022-12-19 11:42:48,The easy way to find businesses and members in the Paris Area Chamber of Commerce
Hoodlum Handyman Services,,,,2800 East Walnut,,AR,72855,,(479) 438-0867,,,,https://www.facebook.com/hoodlumhandyman,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/hoodlum-handyman-services-779,,,,Construction,,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
Gun's Galore & More,,,,11 West Main St.,,AR,72855,,(479) 518-2006,,,,,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/gun-s-galore-more-797,,,,Shopping & Specialty Retail,,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
FWM Squared Consulting,Fonda Williams-Montgomery,Fonda,Williams-Montgomery,394 S. Wiggins Drive,,AR,72855,,(479) 461-5067,,,https://fwmsquaredconsulting.com/,,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/fwm-squared-consulting-748,,,,Advertising & Media,,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
Express RX Pharmacy,,,,508 East Walnut,,AR,72855,,(479) 963-6400,,,http://www.expressrx.net/,https://www.facebook.com/theperfectgiftparis/,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/express-rx-pharmacy-75,,,,Healthcare & Fitness,,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
"Elmer's Plumbing, Electric, & Hardware",,,,604-B West Walnut,,AR,72855,,(479) 963-6832,,,https://www.facebook.com/ElmersPlumbingElectricHardware/,https://www.facebook.com/ElmersPlumbingElectricHardware,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/elmer-s-plumbing-electric-hardware-45,,,,Shopping & Specialty Retail,,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
El Parian Mexican Restaurant,,,,2301 W. Walnut,,AR,72855,,(479) 963-3710,,,https://www.facebook.com/elparianmexican/,,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/el-parian-mexican-restaurant-44,,,,"Restaurants, Food and Beverages",,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
Myra's Mountain Retreat,,,,11254 AR-309,,AR,72855,,(256) 656-9116,,,https://www.myrasmountainretreat.com/,https://www.facebook.com/Myras-Mountain-Retreat-102047677886046/,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/myra-s-mountain-retreat-715,,,,Vacation Rental,,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
Mountainspring Outdoors,,,,2394 Union Rd,,AR,72855,,(479) 438-1469,,,,https://www.facebook.com/Mountainspring-Outdoors-Archery-Shop-3D-Range-110596742351010,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/mountainspring-outdoors-789,,,,Shopping & Specialty Retail,,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
Mr. Handyman,,,,846 W. Walnut St,,AR,72855,,(479) 309-0991,,,http://mrhandyman.com/river-valley-fort-smith/,https://www.facebook.com/Mr-Handyman-of-The-River-Valley-and-Fort-Smith-131371828351593,Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/mr-handyman-736,,,,Construction,,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
Designs by Tonitunes,Mrs. Tonya M. Stinson,Tonya,Stinson,1868 N Carbon City Rd,,AR,72855,,(479) 226-8668,,,https://tonitunes.com/?fbclid=IwAR3nUFkUwrafr1BnLB6g7iiiy9G7T_dhpSMDkllz3BODH9Z31RDS2MHUDEw,"https://www.facebook.com/DesignsByTonitunes, https://www.instagram.com/designsbytonitunes/",Business,,,,https://business.parisarkansas.com/list/,https://business.parisarkansas.com/list/member/designs-by-tonitunes-757,,,,Beauty,,parisarkansas,,,,,,,,,2022-12-19 11:42:49,The easy way to find businesses and members in the Paris Area Chamber of Commerce
