Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Wire Fence Stapler,,,,Frankort,,Kentucky,,,(502) 223-8857,,,http://www.wirefencestapler.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/5022238857,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:03,
Walsh's Ace Hardware,,,,Richland Center,,Wisconsin,,,(608) 647-8925,,,http://www.walshsacehardware.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/6086478925,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:04,
Valu-Bilt Tractor Parts,,,,Indianola,,Iowa,,,(515) 961-8778,,,http://www.valu-bilt.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/8888283276,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:04,
MJ Ward and Son Inc.,,,,Bath,,New York,,,(607) 776-3351,,,http://www.mjward.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/6077763351,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:04,
Justin Seed Company Inc,,,,Justin,,Texas,,,(940) 648-2751,,,http://www.justinseed.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/9406482751,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:04,
Jones Family Farms,,,,Bailey,,North Carolina,,,(252) 230-0923,,,http://www.jonesfarmsnc.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/2522300923,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:04,
First State Antique Tractor Club,,,,Laurel,,Delaware,,,(302) 875-3040,,,http://www.firststateantiquetractorclub.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/3028753040,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:04,
Corporate Farmer Inc,,,,Mason City,,Iowa,,,(641) 424-4170,,,http://www.corporatefarmer.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/6414244170,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:05,
Sunset Resort,,,,Orr,,Minnesota,,,(218) 374-3161,,,http://www.sunset-resort.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/2183743161,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:05,
Hidden Valley Outfitters,,,,Wibaux,,Montana,,,(406) 795-8286,,,http://www.hiddenvalleyoutfitters.com,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/4067958286,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:05,
Scott Ag Services Inc,,,,Gilman,,Iowa,,,(641) 750-0085,,,,,Business,,,,https://www.farmershotline.com/business-directory,https://www.farmershotline.com/users/6417500085,,,,Business Service,,farmershotline,,,,,,,,,2022-12-02 13:16:05,
