Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
1892 East Restaurant & Tavern,,,,720 Pratt Avenue NE,,AL,35801,,(256) 489-1242,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/1892-east-restaurant-%26-tavern/884/,,34.7384583,-86.575724,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
2 Chicks on a Roll,,,,varies,,AL,35750,,(256) 797-1202,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/2-chicks-on-a-roll/4542/,,34.9323102,-86.5719383,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
5 A's Restaurant,,,,6297 AL-53,,AL,35749,,(256) 852-8089,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/5-as-restaurant/4621/,,34.8573073,-86.7213996,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
80 Beans Coffee,,,,6124-A Hwy. 72 E,,AL,35748,,(256) 812-9075,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/80-beans-coffee/4510/,,34.6967782,-86.3789717,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
88 Buffet,,,,6125 University Drive,,AL,35806,,(256) 971-9870,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/88-buffet/1012/,,34.74293,-86.676232,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
Agave & Rye,,,,365 The Bridge St,,AL,35806,,(256) 203-5788,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/agave-%26-rye/4515/,,34.718601,-86.673984,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
Ahh Shucks,,,,varies,,AL,35801,,(256) 683-9972,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/ahh-shucks/4107/,,34.7303688,-86.5861037,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
Al Shish Palace,,,,1591 Hughes Road Suite A,,AL,35758,,(256) 858-1600,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/al-shish-palace/4457/,,34.6992579,-86.7483318,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
Ale's Kitchen at Straight to Ale,,,,2610 Clinton Ave,,AL,35805,,(256) 801-9650,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/ales-kitchen-at-straight-to-ale/1802/,,34.7246258,-86.5991906,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
American Deli,,,,2230 Sparkman Drive,,AL,35810,,(256) 858-0900,,,,,Business,,,,https://www.huntsville.org/restaurants-breweries/all/,https://www.huntsville.org/listing/american-deli/1407/,,34.7648265,-86.5951655,Restaurant,,huntsville,,,,,,,,,2022-12-02 14:08:57,
