Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Arcxis,,,,"19450 Sate Highway 249, Suite 300",,TX,77070,,(970) 420-1217,,,,,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/arcxis-8088,,,,Consulting,,tbba,,,,,,,,,2022-12-12 11:16:52,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
"AF Masonry, Inc",,,,13860 E Us Hwy 92,,FL,33527,,(813) 967-6039,,,,,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/af-masonry-inc-4894,,,,Masonry Contractors,,tbba,,,,,,,,,2022-12-12 11:16:52,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
15 lightyears,,,,350 S Ronald Reagan Blvd,,FL,32750,,(855) 438-1515,,,http://www.15lightyears.com,,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/15-lightyears-6405,,,,Energy,,tbba,,,,,,,,,2022-12-12 11:16:52,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
"Advanced Systems, Inc. of Suncoast",,,,330 Mears Boulevard,,FL,34677,,(813) 854-1600,,,http://www.advancedsystemstile.com/,,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/advanced-systems-inc-of-suncoast-oldsmar-5105,,,,Floor Covering,,tbba,,,,,,,,,2022-12-12 11:16:52,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
Dwell Home Staging,,,,4912 S Lois Ave,,FL,33611,,(844) 433-9355,,,http://www.dwellstaging.com,,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/dwell-home-staging-6380,,,,Interior Merchandising,,tbba,,,,,,,,,2022-12-12 11:16:52,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
DKV Initiatives Inc.,,,,"3902 Henderson Blvd,",,FL,33629,,(289) 910-0531,,,http://www.dkvtampahomes.com,,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/dkv-initiatives-inc-7648,,,,Home Builder,,tbba,,,,,,,,,2022-12-12 11:16:52,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
Associa Gulf Coast,,,,9887 4th Street N.,,FL,33702,,(727) 577-2200,,,http://www.associagulfcoast.com,https://www.linkedin.com/in/nicholaspilafas/,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/associa-gulf-coast-4415,,,,Property Management,,tbba,,,,,,,,,2022-12-12 11:16:52,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
Dream Finders Homes LLC,,,,13108 Zori Lane,,FL,34786,,(407) 757-0206,,,http://www.dreamfindershomes.com,,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/dream-finders-homes-llc-5316,,,,Builder-Custom Homes/On Your Lot,,tbba,,,,,,,,,2022-12-12 11:16:52,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
Blake Building,,,,305 S. Macdill Ave,,Florida,33609,,(813) 873-1950,,,http://blake-building.com,,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/blake-building-7524,,,,Builder-Building Contractors,,tbba,,,,,,,,,2022-12-12 11:16:53,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
"Bright Bay Builders, Inc.",,,,109 43rd Ave N,,FL,33703,,(727) 822-7463,,,http://www.brightbay.com,,Business,,,,https://www.tbba.net/list,https://www.tbba.net/list/member/bright-bay-builders-inc-saint-petersburg-227,,,,Builder-Custom Homes/On Your Lot,,tbba,,,,,,,,,2022-12-12 11:16:53,The easy way to find businesses and members in the Tampa Bay Builders Association Inc
