Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"JD Klopfenstein, Principal Financial Group",,,,1140 Tall Grass Ave,,IA,52340,,(319) 730-1039,,,http://www.jdklopfenstein.com,,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/jd-klopfenstein-principal-financial-group-3623,,,,Financial Services,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:46,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
"Legacy Mail Management, LLC",,,,1615 East Washington Street,,IA,52641,,(319) 931-4575,,,,,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/legacy-mail-management-llc-3719,,,,Manufacturers,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:46,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
Lillian Grace Boutique,,,,"120 South Main Street, Suite 102",,IA,52641,,(319) 219-2016,,,,https://www.facebook.com/LillianGraceBoutique/?fref=ts,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/lillian-grace-boutique-3515,,,,Clothing,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:46,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
H2O Help to Others,,,,P.O. Box 773,,IA,52641,,(319) 931-5426,,,,,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/h2o-help-to-others-1166,,,,Community Organizations,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:46,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
Henry County Sheriff's Office,,,,800 South Grand Avenue,,IA,52641,,(319) 385-2712,,,http://www.henrycountyiowa.us,https://www.facebook.com/henrycountysheriffiowa/,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/henry-county-sheriff-s-office-3585,,,,Government,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:46,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
Gamrath-Doyle-Vens Insurance Inc,,,,207 South Harrison Street,,IA,52641,,(319) 385-4240,,,http://www.gvinsurance.com,,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/gamrath-doyle-vens-insurance-inc-1162,,,,Insurance,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:46,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
Lomont Molding LLC,,,,1516 East Mapleleaf Drive,,IA,52641,,(319) 385-1528,(800) 776-0380,,http://www.lomont.com,,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/lomont-molding-llc-1035,,,,Manufacturers,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:46,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
H & R Block,,,,301 West Washington Street,,IA,52641,,(319) 385-2454,,,http://www.hrblock.com,,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/h-r-block-1485,,,,Tax Services,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:46,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
C & D Cleaning LLC,,,,1968 Hwy 218,,IA,52641,,(319) 931-4445,,,http://www.cdcleaningmp.com,,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/c-d-cleaning-llc-3578,,,,Power Washing,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:47,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
Cottage Realty LLC,,,,118 South Main Street,,IA,52641,,(319) 385-3243,,,http://www.cottagerealty.com,,Business,,,,http://business.mountpleasantiowa.org/list,http://business.mountpleasantiowa.org/list/member/cottage-realty-llc-1026,,,,Real Estate,,mountpleasantiowa,,,,,,,,,2022-12-12 11:09:47,The easy way to find businesses and members in the Mount Pleasant Area Chamber Alliance
