Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
ECU Family Medical Center,,,,101 Heart Drive,,NC,27834,,(252) 744-4611,,,http://www.ecu.edu/cs-dhs/ecuphysicians/locations.cfm?location=6,,Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/ecu-family-medical-center-11597,,,,Business Service,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
ECU Physicians 517 Moye Medical Center,,,,517 Moye Blvd,,NC,27834,,(252) 744-1111,,,http://www.ecu.edu/cs-dhs/ecuphysicians/locations.cfm?location=18,,Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/ecu-physicians-517-moye-medical-center-11594,,,,Physicians,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
Quality Inn,,,,Shri Hari Greenville llc,,NC,27834,,(252) 758-5544,,,http://www.choicehotels.com/hotel/nc477,,Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/quality-inn-8693,,,,Hotels,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
QC Kinetix,,,,1103 B Corporate Dr.,,NC,27858,,(252) 360-3111 x:3,,,https://qckinetix.com/eastern-north-carolina/,,Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/qc-kinetix-12909,,,,Physical Therapy,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
ECU Women's Physicians,,,,2160 Herbert Court,,NC,27834,,(252) 744-3850,,,http://www.ecu.edu/cs-dhs/ecuphysicians/locations.cfm?location=12,,Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/ecu-women-s-physicians-11596,,,,Physicians,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
ECU Physicians 520 Moye Medical Center,,,,520 Moye Blvd,,NC,27834,,(252) 744-1111,,,http://www.ecu.edu/cs-dhs/ecuphysicians/locations.cfm?location=17,,Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/ecu-physicians-520-moye-medical-center-11595,,,,Physicians,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
Duke Energy Progress,,,,2637 Gum Branch Road,,NC,28540-5740,,(910) 346-1453,(800) 452-2777,,http://www.duke-energy.com,,Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/duke-energy-progress-jacksonville-10088,,,,Government Agencies,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
On Flow Hair Studio LLC,,,,250-H Easy Street,,NC,27834,,(848) 237-9673,,,https://www.facebook.com/OnflowHairStudio,"https://www.facebook.com/OnflowHairStudio, https://www.instagram.com/jconflow",Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/on-flow-hair-studio-llc-12847,,,,Barber,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
Affordable Suites of America,,,,101 Dansey Road,,NC,27834,,(252) 355-5717,,,http://www.affordablesuites.com/greenville,,Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/affordable-suites-of-america-greenville-8297,,,,Hotels,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
American Red Cross,,,,700-A Cromwell Drive,,NC,27858,,(252) 355-3800,,,http://www.redcross.org/local/north-carolina/eastern-northern-carolina/chapters/northeastern-north-carolina,,Business,,,,https://business.greenvillenc.org/list/,https://business.greenvillenc.org/list/member/american-red-cross-8030,,,,Non Profit Organizations,,greenvillenc,,,,,,,,,2022-12-17 11:03:06,The easy way to find businesses and members in the Greenville-Pitt County Chamber of Commerce
