Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
SEE Eyewear,,,,7535 Poplar Ave.,,TN,38138,,901-930-0870,,,,,Business,,,,https://web.germantownchamber.com/allcategories,https://web.germantownchamber.com/AccessoriesFashion/SEE-Eyewear-1171,,,,Germantown Accessories-Fashion,,germantownchamber,,,,,,,,,2022-12-09 11:49:10,
Jewel Spa & Boutique,,,,"2095 Exeter Rd., #85",,TN,38138,,901-754-4505,,,,,Business,,,,https://web.germantownchamber.com/allcategories,https://web.germantownchamber.com/AccessoriesFashion/Jewel-Spa-Boutique-3805,,,,Germantown Accessories-Fashion,,germantownchamber,,,,,,,,,2022-12-09 11:49:10,
Jody's Doughnuts & Bakery,,,,"420 S. Germantown Pkwy, #110",,TN,38018,,901-737-1515,,,,,Business,,,,https://web.germantownchamber.com/allcategories,https://web.germantownchamber.com/Bakeries/Jody%27s-Doughnuts-Bakery-265,,,,Germantown Bakeries,,germantownchamber,,,,,,,,,2022-12-09 11:49:12,
Nothing Bundt Cakes,,,,"5679 Poplar Ave., #102",,TN,38119,,901-208-8984,,,,,Business,,,,https://web.germantownchamber.com/allcategories,https://web.germantownchamber.com/Bakeries/Nothing-Bundt-Cakes-737,,,,Germantown Bakeries,,germantownchamber,,,,,,,,,2022-12-09 11:49:12,
Miss MUFF'N by Confections & Connections,,,,7511 Queens Court #1,,TN,38138,,901-757-1258,,,,,Business,,,,https://web.germantownchamber.com/allcategories,https://web.germantownchamber.com/Bakeries/Miss-MUFF%27N-by-Confections-Connections-1652,,,,Germantown Bakeries,,germantownchamber,,,,,,,,,2022-12-09 11:49:12,
The Great Hall & Conference Center,,,,1900 S. Germantown Rd,,TN,38138,,901-751-7661,,,,,Business,,,,https://web.germantownchamber.com/allcategories,https://web.germantownchamber.com/Banquet-Facility/The-Great-Hall-Conference-Center-464,,,,Germantown Banquet Facility,,germantownchamber,,,,,,,,,2022-12-09 11:49:12,
Memphis Communications Corporation,,,,4771 Summer Ave.,,TN,38122,,901-725-9271,,,,,Business,,,,https://web.germantownchamber.com/allcategories,https://web.germantownchamber.com/Banquet-Facility/Memphis-Communications-Corporation-1132,,,,Germantown Banquet Facility,,germantownchamber,,,,,,,,,2022-12-09 11:49:12,
"Workforce MidSouth, Inc.",,,,"80 Monroe Ave., #300",,TN,38103,,901-707-8812,,,,,Business,,,,https://web.germantownchamber.com/allcategories,"https://web.germantownchamber.com/Business-Sales-Development/Workforce-MidSouth,-Inc-3763",,,,Germantown Business & Sales Development,,germantownchamber,,,,,,,,,2022-12-09 11:49:12,
Moxey901,,,,1779 Kirby Parkway,,TN,38138,,901-493-8951,,,,,Business,,,,https://web.germantownchamber.com/allcategories,https://web.germantownchamber.com/Business-Sales-Development/Moxey901-5897,,,,Germantown Business & Sales Development,,germantownchamber,,,,,,,,,2022-12-09 11:49:12,
FirstBank,,,,"6815 Poplar Ave., #100",,TN,38138,,901-937-6259,,,,,Business,,,,https://web.germantownchamber.com/allcategories,https://web.germantownchamber.com/Banks/FirstBank-1590,,,,Germantown Banks,,germantownchamber,,,,,,,,,2022-12-09 11:49:12,
