Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
,,,,241 N 300 W,,IN,46901,,765-459-4125,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
,,,,PO Box 9005,,IL,60031  9005,,847-377-5162,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
,,,,525 Wizeler Dr Unit 1,,OH,43506,,419-636-2684,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
,,,,111 Patton Ct,,KY,40356,,(859) 881-5422,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
,,,,14680 Pleasant Valley Road,,OH,45601,,740-772-5400,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
,,,,4034 Altizer Avenue,,WV,25705,,800-999-3484,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
,,,,1086 North Fourth St. Suite 105,,OH,43201,,614-464-4414,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
,,,,4585 ST Rt 39,,OH,44610,,(800) 860-1060,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
,,,,31 Erlanger Rd,,OH,41018,,(859) 640-6186,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
,,,,7940 Memorial Dr,,OH,43064,,614-873-4654,,,,,Business,,,,https://web.ohioruralwater.org/allcategories,,,,,Associate,,ohioruralwater,,,,,,,,,2022-12-09 11:30:15,
